InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
fg9998,20160104,885.0,875.0,874.0,875.0,796.0,13960000.0,2668.0
fg9998,20160105,913.0,886.0,867.0,886.0,1006.0,18060000.0,1754.0
fg9998,20160106,928.0,889.0,887.0,889.0,362.0,6510000.0,1640.0
fg9998,20160107,913.0,913.0,864.0,913.0,156.0,2790000.0,1604.0
fg9998,20160108,898.0,898.0,862.0,898.0,14.0,240000.0,1600.0
fg9998,20160111,869.0,863.0,863.0,863.0,10.0,170000.0,1590.0
fg9998,20160112,880.0,870.0,861.0,870.0,614.0,10680000.0,1000.0
fg9998,20160113,870.0,870.0,870.0,870.0,174.0,3020000.0,826.0
fg9998,20160114,870.0,870.0,870.0,870.0,0.0,0.0,826.0
fg9998,20160115,870.0,870.0,870.0,870.0,260.0,4520000.0,566.0
fg9998,20160119,866.0,866.0,861.0,866.0,8.0,130000.0,28.0
fg9998,20160120,863.0,863.0,863.0,863.0,0.0,0.0,28.0
fg9998,20160121,870.0,870.0,870.0,870.0,0.0,0.0,28.0
fg9998,20160122,902.0,897.0,856.0,897.0,6.0,100000.0,26.0
fg9998,20160125,885.0,885.0,885.0,885.0,0.0,0.0,26.0
fg9998,20160126,885.0,885.0,885.0,885.0,0.0,0.0,26.0
fg9998,20160127,919.0,888.0,849.0,888.0,6.0,100000.0,24.0
fg9998,20160128,885.0,919.0,885.0,885.0,0.0,0.0,24.0
fg9998,20160129,849.0,849.0,849.0,849.0,2.0,30000.0,24.0
