InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
rs9998,20160104,3985.0,3914.0,3852.0,3914.0,146.0,5670000.0,762.0
rs9998,20160105,4044.0,4044.0,3880.0,3948.0,218.0,8700000.0,696.0
rs9998,20160106,3986.0,3957.0,3915.0,3957.0,28.0,1100000.0,694.0
rs9998,20160107,3986.0,4099.0,3957.0,3957.0,18.0,710000.0,690.0
rs9998,20160108,3935.0,3906.0,3864.0,3906.0,58.0,2260000.0,714.0
rs9998,20160111,3909.0,3883.0,3883.0,3883.0,14.0,540000.0,712.0
rs9998,20160112,3878.0,3878.0,3801.0,3878.0,6.0,220000.0,712.0
rs9998,20160113,3900.0,3871.0,3846.0,3871.0,18.0,690000.0,722.0
rs9998,20160114,3999.0,3980.0,3839.0,3888.0,56.0,2180000.0,694.0
rs9998,20160115,3893.0,3745.0,3869.0,3869.0,10.0,380000.0,696.0
rs9998,20160118,3880.0,3880.0,3880.0,3880.0,0.0,0.0,696.0
rs9998,20160119,3892.0,3872.0,3858.0,3872.0,18.0,690000.0,694.0
rs9998,20160120,3882.0,3882.0,3875.0,3882.0,8.0,310000.0,694.0
rs9998,20160121,3879.0,3879.0,3879.0,3879.0,0.0,0.0,694.0
rs9998,20160122,3935.0,3916.0,3875.0,3916.0,78.0,3050000.0,698.0
rs9998,20160125,3942.0,3879.0,3879.0,3879.0,12.0,470000.0,696.0
rs9998,20160126,3924.0,3924.0,3924.0,3924.0,2.0,70000.0,698.0
rs9998,20160127,3935.0,3920.0,3883.0,3920.0,38.0,1480000.0,696.0
rs9998,20160128,4000.0,3927.0,3903.0,3927.0,116.0,4570000.0,746.0
rs9998,20160129,3945.0,3945.0,3945.0,3945.0,0.0,0.0,746.0
