InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
TF9999,20160201,100.87,100.79,100.725,100.76,13127.0,13231002850.0,16449.0
TF9999,20160202,100.83,100.76,100.52,100.54,13940.0,14026799200.0,16045.0
TF9999,20160203,100.64,100.505,100.315,100.62,13810.0,13882881900.0,15112.0
TF9999,20160204,100.765,100.615,100.57,100.735,12924.0,13012858000.0,14637.0
TF9999,20160205,100.815,100.75,100.725,100.775,7354.0,7410969700.0,13771.0
TF9999,20160215,101.04,100.82,100.82,101.015,11754.0,11865072700.0,13818.0
TF9999,20160216,100.99,100.99,100.78,100.815,11391.0,11490031650.0,11995.0
TF9999,20160217,100.865,100.775,100.745,100.815,12693.0,12796177950.0,10627.0
TF9999,20160218,100.91,100.79,100.725,100.855,9632.0,9710867400.0,9357.0
TF9999,20160219,100.94,100.905,100.81,100.87,8856.0,8931794650.0,6721.0
TF9999,20160222,100.465,100.465,100.295,100.39,8605.0,8637136900.0,22985.0
TF9999,20160223,100.455,100.39,100.35,100.35,10387.0,10429045700.0,23721.0
TF9999,20160224,100.45,100.35,100.33,100.35,8747.0,8782361600.0,23695.0
TF9999,20160225,100.515,100.345,100.11,100.28,16647.0,16712510900.0,24226.0
TF9999,20160226,100.41,100.29,100.22,100.405,14544.0,14591845000.0,24774.0
TF9999,20160229,100.48,100.385,100.33,100.475,11719.0,11766002050.0,24821.0
