InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
pp9990,20160201,6090.0,6051.0,6017.0,6031.0,1156540.0,35270554730.0,842048.0
pp9990,20160202,6110.0,6017.0,6014.0,6101.0,1390246.0,42673406320.0,838004.0
pp9990,20160203,6177.0,6079.0,6063.0,6156.0,1284358.0,39758827900.0,810928.0
pp9990,20160204,6306.0,6198.0,6185.0,6294.0,1102926.0,34894575490.0,772362.0
pp9990,20160205,6338.0,6272.0,6227.0,6323.0,1047108.0,33199492460.0,777814.0
pp9990,20160215,6307.0,6284.0,6177.0,6216.0,1201932.0,37944408060.0,823104.0
pp9990,20160216,6245.0,6241.0,6158.0,6179.0,1264276.0,39556319920.0,882300.0
pp9990,20160217,6200.0,6163.0,6049.0,6065.0,1305600.0,40411610940.0,881292.0
pp9990,20160218,6156.0,6092.0,6089.0,6108.0,1166328.0,36149216530.0,875580.0
pp9990,20160219,6274.0,6095.0,6041.0,6263.0,2057002.0,64445734300.0,881118.0
pp9990,20160222,6367.0,6273.0,6229.0,6245.0,1761134.0,56158196230.0,875360.0
pp9990,20160223,6300.0,6266.0,6205.0,6287.0,1552954.0,49298066840.0,882756.0
pp9990,20160224,6337.0,6246.0,6244.0,6305.0,1983958.0,63383099990.0,909836.0
pp9990,20160225,6463.0,6334.0,6331.0,6397.0,2056404.0,66836948780.0,887300.0
pp9990,20160226,6486.0,6354.0,6313.0,6451.0,2243488.0,72844670410.0,938694.0
pp9990,20160229,6476.0,6454.0,6353.0,6408.0,1967450.0,63986377250.0,896946.0
