InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
T9990,20160301,99.64,99.64,99.24,99.36,28528.0,28356850950.0,38061.0
T9990,20160302,99.4,99.34,99.03,99.1,29247.0,29019166200.0,40064.0
T9990,20160303,99.11,99.05,98.84,98.92,34195.0,33833299750.0,41363.0
T9990,20160304,99.19,98.86,98.86,99.03,29825.0,29545947450.0,41931.0
T9990,20160307,98.95,98.94,98.61,98.65,26693.0,26359810650.0,42616.0
T9990,20160308,98.9,98.52,98.51,98.78,32152.0,31766132400.0,40350.0
T9990,20160309,99.12,98.94,98.91,99.06,24020.0,23797231850.0,41052.0
T9990,20160310,99.35,99.22,98.97,99.34,29928.0,29682911150.0,41262.0
T9990,20160311,99.69,99.3,99.28,99.69,24938.0,24817434300.0,40920.0
T9990,20160314,99.64,99.59,99.42,99.54,19132.0,19049853300.0,40512.0
T9990,20160315,99.64,99.52,99.36,99.6,23547.0,23445961350.0,40960.0
T9990,20160316,99.92,99.6,99.54,99.88,26811.0,26755830500.0,41607.0
T9990,20160317,99.9,99.88,99.54,99.58,29132.0,29075349250.0,41466.0
T9990,20160318,99.62,99.56,99.46,99.56,19626.0,19557679900.0,42385.0
T9990,20160321,99.52,99.5,99.28,99.4,22004.0,21882184150.0,42977.0
T9990,20160322,99.6,99.34,99.34,99.52,19574.0,19483526200.0,43619.0
T9990,20160323,99.64,99.52,99.46,99.53,18827.0,18755252900.0,43396.0
T9990,20160324,99.78,99.56,99.54,99.72,18873.0,18831211800.0,42197.0
T9990,20160325,99.74,99.65,99.48,99.68,19529.0,19478252650.0,42255.0
T9990,20160328,99.6,99.6,99.46,99.47,18175.0,18105153200.0,43342.0
T9990,20160329,99.7,99.46,99.43,99.65,19887.0,19819142000.0,44302.0
T9990,20160330,99.74,99.67,99.54,99.64,17620.0,17575139700.0,44856.0
T9990,20160331,99.76,99.64,99.56,99.63,17993.0,17949827100.0,44295.0
