InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
al9997,20160301,11345.0,11300.0,11020.0,11185.0,151130.0,8472460800.0,145790.0
al9997,20160302,11285.0,11210.0,11100.0,11270.0,91990.0,5149688200.0,133064.0
al9997,20160303,11305.0,11240.0,11220.0,11295.0,42518.0,2396266700.0,128276.0
al9997,20160304,11415.0,11290.0,11270.0,11370.0,59282.0,3362725050.0,120166.0
al9997,20160307,11550.0,11385.0,11295.0,11385.0,79778.0,4550175850.0,105788.0
al9997,20160308,11515.0,11475.0,11340.0,11475.0,41386.0,2363729750.0,99894.0
al9997,20160309,11475.0,11295.0,10975.0,11295.0,42840.0,2409822400.0,91940.0
al9997,20160310,11345.0,11295.0,11205.0,11250.0,18710.0,1054051650.0,86424.0
al9997,20160311,11310.0,11300.0,11185.0,11300.0,16398.0,923842550.0,81590.0
al9997,20160314,11395.0,11290.0,11260.0,11275.0,26236.0,1483230400.0,74634.0
al9997,20160315,11300.0,11265.0,11215.0,11265.0,19362.0,1091205900.0,70912.0
al9997,20160316,11265.0,11230.0,11180.0,11240.0,16290.0,915627500.0,68460.0
al9997,20160317,11365.0,11230.0,11230.0,11340.0,94516.0,5344620300.0,223070.0
al9997,20160318,11500.0,11325.0,11320.0,11455.0,158696.0,9075860650.0,224098.0
al9997,20160321,11580.0,11425.0,11400.0,11485.0,154720.0,8887283750.0,223520.0
al9997,20160322,11550.0,11530.0,11470.0,11515.0,94936.0,5467321350.0,224414.0
al9997,20160323,11545.0,11495.0,11460.0,11500.0,95008.0,5467538450.0,210446.0
al9997,20160324,11640.0,11495.0,11465.0,11525.0,241820.0,13956828550.0,190994.0
al9997,20160325,11715.0,11520.0,11510.0,11700.0,174076.0,10133354850.0,211914.0
al9997,20160328,11830.0,11720.0,11680.0,11740.0,164850.0,9693439500.0,211640.0
al9997,20160329,11880.0,11750.0,11700.0,11755.0,183126.0,10814678900.0,211004.0
al9997,20160330,11780.0,11775.0,11690.0,11740.0,107466.0,6306266850.0,199590.0
al9997,20160331,11810.0,11720.0,11700.0,11775.0,115298.0,6778576250.0,182842.0
