InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
cs1609,20160301,1890.0,1834.0,1824.0,1890.0,314570.0,5870703580.0,0.0
cs1609,20160302,1901.0,1896.0,1879.0,1887.0,162088.0,3065270080.0,0.0
cs1609,20160303,1933.0,1889.0,1887.0,1926.0,248872.0,4767657920.0,0.0
cs1609,20160304,1945.0,1926.0,1922.0,1932.0,152600.0,2952315300.0,0.0
cs1609,20160307,1960.0,1952.0,1897.0,1912.0,250302.0,4803963640.0,0.0
cs1609,20160308,1932.0,1912.0,1901.0,1913.0,160120.0,3067051900.0,0.0
cs1609,20160309,1925.0,1910.0,1901.0,1918.0,149114.0,2854937620.0,0.0
cs1609,20160310,1939.0,1925.0,1897.0,1912.0,254860.0,4884640060.0,0.0
cs1609,20160311,1944.0,1900.0,1900.0,1936.0,187636.0,3615971360.0,0.0
cs1609,20160314,1935.0,1925.0,1885.0,1901.0,213312.0,4087695620.0,0.0
cs1609,20160315,1918.0,1909.0,1892.0,1916.0,173550.0,3310027440.0,0.0
cs1609,20160316,1921.0,1910.0,1906.0,1913.0,116370.0,2226048040.0,0.0
cs1609,20160317,1920.0,1916.0,1896.0,1907.0,161670.0,3081722680.0,0.0
cs1609,20160318,1982.0,1912.0,1905.0,1959.0,375954.0,7313138460.0,0.0
cs1609,20160321,2018.0,1945.0,1944.0,2001.0,445874.0,8880057760.0,0.0
cs1609,20160322,2024.0,2015.0,1986.0,1989.0,342758.0,6848630540.0,0.0
cs1609,20160323,2019.0,1996.0,1986.0,1998.0,365600.0,7317910340.0,0.0
cs1609,20160324,1992.0,1985.0,1960.0,1972.0,344840.0,6815880100.0,0.0
cs1609,20160325,1986.0,1976.0,1964.0,1976.0,238140.0,4707615220.0,0.0
cs1609,20160328,1968.0,1968.0,1919.0,1922.0,391598.0,7575419260.0,0.0
cs1609,20160329,1945.0,1918.0,1911.0,1938.0,280134.0,5414208860.0,0.0
cs1609,20160330,1947.0,1938.0,1934.0,1935.0,117024.0,2268547860.0,0.0
cs1609,20160331,1935.0,1925.0,1896.0,1913.0,278126.0,5325093380.0,0.0
