InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
jm9999,20160301,619.5,614.5,606.5,613.0,293820.0,10783054620.0,0.0
jm9999,20160302,613.5,612.5,602.5,608.0,306134.0,11169631200.0,0.0
jm9999,20160303,612.5,605.5,600.5,602.5,270702.0,9836896980.0,0.0
jm9999,20160304,602.5,602.5,583.5,591.5,458482.0,16321013640.0,0.0
jm9999,20160307,616.5,596.5,596.5,616.5,341572.0,12471069180.0,0.0
jm9999,20160308,645.0,644.0,599.0,622.5,839250.0,31443586620.0,0.0
jm9999,20160309,618.5,611.5,599.5,600.5,446108.0,16204041780.0,0.0
jm9999,20160310,623.0,607.0,594.5,601.0,554278.0,20102049240.0,0.0
jm9999,20160311,619.0,602.0,599.5,612.5,359338.0,13162438080.0,0.0
jm9999,20160314,634.0,610.5,606.5,614.0,611750.0,22912244700.0,0.0
jm9999,20160315,620.0,615.0,610.5,613.0,209718.0,7741805700.0,0.0
jm9999,20160316,621.5,612.5,612.0,613.5,184134.0,6814489440.0,0.0
jm9999,20160317,628.0,613.5,603.5,623.0,320276.0,11859127980.0,0.0
jm9999,20160318,641.5,622.0,620.5,633.5,292584.0,11105996100.0,0.0
jm9999,20160321,644.0,633.0,624.0,624.5,278250.0,10589386800.0,0.0
jm9999,20160322,633.5,626.0,623.5,627.0,158904.0,5991669120.0,0.0
jm9999,20160323,642.0,627.5,621.5,622.5,241428.0,9193472820.0,0.0
jm9999,20160324,624.0,621.0,609.5,609.5,179020.0,6619921380.0,0.0
jm9999,20160325,617.0,609.0,607.5,616.5,105674.0,3881912220.0,0.0
jm9999,20160328,625.5,619.0,610.0,610.5,171186.0,6364821480.0,0.0
jm9999,20160329,616.5,613.0,608.0,611.0,92228.0,3390268380.0,0.0
jm9999,20160330,623.5,618.5,612.0,618.0,115528.0,4286713560.0,0.0
jm9999,20160331,642.5,617.5,617.5,642.5,344496.0,13055383860.0,0.0
