InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
m1703,20160315,2447.0,2382.0,2315.0,2447.0,4.0,95240.0,0.0
m1703,20160316,2447.0,2447.0,2447.0,2447.0,0.0,0.0,0.0
m1703,20160317,2381.0,2381.0,2381.0,2381.0,0.0,0.0,0.0
m1703,20160318,2381.0,2381.0,2377.0,2377.0,2.0,47540.0,0.0
m1703,20160321,2437.0,2377.0,2377.0,2437.0,28.0,672980.0,0.0
m1703,20160322,2454.0,2437.0,2437.0,2449.0,12.0,293980.0,0.0
m1703,20160323,2484.0,2449.0,2448.0,2448.0,8.0,197600.0,0.0
m1703,20160324,2484.0,2448.0,2428.0,2474.0,14.0,344740.0,0.0
m1703,20160325,2489.0,2474.0,2474.0,2484.0,6.0,149120.0,0.0
m1703,20160328,2484.0,2484.0,2471.0,2471.0,10.0,247180.0,0.0
m1703,20160329,2471.0,2471.0,2455.0,2455.0,4.0,98420.0,0.0
m1703,20160330,2465.0,2455.0,2455.0,2465.0,2.0,49300.0,0.0
m1703,20160331,2465.0,2465.0,2439.0,2439.0,6.0,146420.0,0.0
