InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
sr703,20160301,5575.0,5575.0,5575.0,5575.0,0.0,0.0,0.0
sr703,20160302,5582.0,5582.0,5582.0,5582.0,0.0,0.0,0.0
sr703,20160303,5633.0,5600.0,5596.0,5596.0,4.0,22460.0,0.0
sr703,20160304,5620.0,5596.0,5596.0,5620.0,2.0,11240.0,0.0
sr703,20160307,5620.0,5620.0,5620.0,5620.0,0.0,0.0,0.0
sr703,20160308,5621.0,5621.0,5621.0,5621.0,0.0,0.0,0.0
sr703,20160309,5588.0,5588.0,5560.0,5562.0,10.0,55620.0,0.0
sr703,20160310,5600.0,5562.0,5562.0,5583.0,20.0,111840.0,0.0
sr703,20160311,5583.0,5583.0,5583.0,5583.0,0.0,0.0,0.0
sr703,20160314,5610.0,5610.0,5610.0,5610.0,0.0,0.0,0.0
sr703,20160315,5610.0,5610.0,5610.0,5610.0,0.0,0.0,0.0
sr703,20160316,5610.0,5610.0,5610.0,5610.0,0.0,0.0,0.0
sr703,20160317,5659.0,5610.0,5610.0,5659.0,2.0,11318.0,0.0
sr703,20160318,5674.0,5659.0,5659.0,5674.0,4.0,22688.0,0.0
sr703,20160321,5674.0,5674.0,5674.0,5674.0,0.0,0.0,0.0
sr703,20160322,5738.0,5738.0,5738.0,5738.0,0.0,0.0,0.0
sr703,20160323,5774.0,5774.0,5774.0,5774.0,0.0,0.0,0.0
sr703,20160324,5774.0,5774.0,5774.0,5774.0,0.0,0.0,0.0
sr703,20160325,5774.0,5774.0,5774.0,5774.0,0.0,0.0,0.0
sr703,20160328,5775.0,5775.0,5775.0,5775.0,0.0,0.0,0.0
sr703,20160329,5775.0,5775.0,5775.0,5775.0,0.0,0.0,0.0
sr703,20160330,5775.0,5775.0,5775.0,5775.0,0.0,0.0,0.0
sr703,20160331,5775.0,5775.0,5775.0,5775.0,0.0,0.0,0.0
