InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
ZC607,20160405,349.8,349.8,349.8,349.8,0.0,0.0,4.0
ZC607,20160406,363.8,353.2,351.0,353.2,10.0,350000.0,6.0
ZC607,20160408,367.0,364.0,364.0,364.0,4.0,140000.0,4.0
ZC607,20160411,369.8,369.8,369.8,369.8,2.0,70000.0,4.0
ZC607,20160412,370.2,370.2,370.2,370.2,2.0,70000.0,4.0
ZC607,20160418,382.0,382.0,382.0,382.0,2.0,70000.0,2.0
ZC607,20160419,382.0,382.0,382.0,382.0,0.0,0.0,2.0
ZC607,20160420,395.6,389.0,388.4,389.0,46.0,1800000.0,4.0
ZC607,20160421,392.4,392.4,392.4,392.4,0.0,0.0,4.0
ZC607,20160422,398.2,398.2,398.2,398.2,2.0,70000.0,2.0
