InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
ru1704,20160418,14000.0,13900.0,13900.0,14000.0,4.0,559500.0,4.0
ru1704,20160419,14045.0,14000.0,13905.0,13905.0,6.0,839000.0,4.0
ru1704,20160420,14705.0,13905.0,13905.0,14400.0,10.0,1451600.0,14.0
ru1704,20160421,14840.0,14400.0,14395.0,14840.0,16.0,2321200.0,26.0
ru1704,20160422,14840.0,14840.0,14140.0,14140.0,12.0,1713800.0,28.0
ru1704,20160425,14425.0,14140.0,14140.0,14425.0,2.0,288500.0,28.0
ru1704,20160426,14425.0,14425.0,14315.0,14360.0,4.0,573500.0,26.0
ru1704,20160427,14360.0,14360.0,14200.0,14200.0,2.0,284000.0,28.0
ru1704,20160428,14200.0,14200.0,14000.0,14145.0,6.0,843300.0,32.0
ru1704,20160429,14445.0,14145.0,14145.0,14285.0,4.0,574600.0,32.0
