InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
RS9990,20160503,3996.0,3977.0,3944.0,3961.0,542.0,2149798.0,1382.0
RS9990,20160504,3972.0,3961.0,3948.0,3959.0,276.0,1092408.0,1384.0
RS9990,20160505,3976.0,3959.0,3950.0,3974.0,522.0,2069550.0,1410.0
RS9990,20160506,3953.0,3952.0,3912.0,3950.0,312.0,1228344.0,1406.0
RS9990,20160509,3990.0,3950.0,3944.0,3970.0,416.0,1652700.0,1418.0
RS9990,20160510,3975.0,3970.0,3945.0,3962.0,174.0,688518.0,1396.0
RS9990,20160511,4054.0,3993.0,3982.0,3988.0,1872.0,7520430.0,1446.0
RS9990,20160512,4012.0,3988.0,3965.0,3986.0,554.0,2211568.0,1454.0
RS9990,20160513,3986.0,3986.0,3906.0,3917.0,568.0,2226716.0,1446.0
RS9990,20160516,3942.0,3917.0,3912.0,3935.0,222.0,873656.0,1454.0
RS9990,20160517,3949.0,3935.0,3932.0,3949.0,204.0,808764.0,1458.0
RS9990,20160518,3994.0,3963.0,3946.0,3946.0,506.0,2010782.0,1448.0
RS9990,20160519,3967.0,3945.0,3922.0,3934.0,244.0,965706.0,1450.0
RS9990,20160520,3936.0,3831.0,3831.0,3933.0,228.0,890990.0,1444.0
RS9990,20160523,3996.0,3933.0,3856.0,3967.0,846.0,3374262.0,1430.0
RS9990,20160524,4016.0,3967.0,3945.0,4014.0,700.0,2776936.0,1454.0
RS9990,20160525,4036.0,4014.0,4005.0,4014.0,326.0,1306478.0,1398.0
RS9990,20160526,4078.0,4014.0,4014.0,4075.0,614.0,2519592.0,1554.0
RS9990,20160527,4075.0,4075.0,4039.0,4060.0,446.0,1811136.0,1472.0
RS9990,20160530,4136.0,4060.0,4060.0,4103.0,842.0,3456088.0,1228.0
RS9990,20160531,4128.0,4103.0,4048.0,4071.0,702.0,2865078.0,1156.0
