InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
a1607,20160503,3609.0,3534.0,3534.0,3600.0,28.0,994780.0,42.0
a1607,20160504,3600.0,3600.0,3600.0,3600.0,0.0,0.0,42.0
a1607,20160505,3552.0,3552.0,3540.0,3540.0,4.0,141840.0,42.0
a1607,20160506,3540.0,3540.0,3540.0,3540.0,0.0,0.0,42.0
a1607,20160509,3567.0,3546.0,3406.0,3545.0,54.0,1892600.0,74.0
a1607,20160510,3555.0,3545.0,3506.0,3555.0,60.0,2117100.0,68.0
a1607,20160511,3695.0,3555.0,3555.0,3683.0,70.0,2531880.0,62.0
a1607,20160512,3683.0,3683.0,3580.0,3660.0,42.0,1528460.0,74.0
a1607,20160513,3660.0,3660.0,3532.0,3532.0,34.0,1224460.0,50.0
a1607,20160516,3632.0,3532.0,3463.0,3575.0,6.0,213400.0,50.0
a1607,20160517,3620.0,3575.0,3591.0,3602.0,14.0,505420.0,48.0
a1607,20160518,3660.0,3602.0,3602.0,3660.0,2.0,73200.0,46.0
a1607,20160519,3660.0,3660.0,3660.0,3660.0,0.0,0.0,46.0
a1607,20160520,3697.0,3664.0,3660.0,3660.0,16.0,587500.0,44.0
a1607,20160523,3675.0,3660.0,3650.0,3650.0,12.0,439700.0,56.0
a1607,20160524,3650.0,3650.0,3565.0,3565.0,8.0,288620.0,56.0
a1607,20160525,3640.0,3565.0,3565.0,3614.0,6.0,217380.0,52.0
a1607,20160526,3680.0,3614.0,3610.0,3615.0,30.0,1085720.0,42.0
a1607,20160527,3649.0,3615.0,3605.0,3622.0,36.0,1305820.0,42.0
a1607,20160530,3680.0,3622.0,3622.0,3680.0,30.0,1098540.0,42.0
a1607,20160531,3700.0,3680.0,3671.0,3674.0,8.0,294500.0,42.0
