InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
b1607,20160503,3380.0,3380.0,3380.0,3380.0,0.0,0.0,26.0
b1607,20160504,3383.0,3383.0,3319.0,3350.0,6.0,200560.0,24.0
b1607,20160505,3400.0,3350.0,3350.0,3400.0,10.0,340000.0,32.0
b1607,20160506,3400.0,3400.0,3400.0,3400.0,0.0,0.0,32.0
b1607,20160509,3400.0,3400.0,3400.0,3400.0,0.0,0.0,32.0
b1607,20160510,3400.0,3400.0,3400.0,3400.0,0.0,0.0,32.0
b1607,20160511,3400.0,3400.0,3400.0,3400.0,0.0,0.0,32.0
b1607,20160512,3536.0,3536.0,3536.0,3536.0,0.0,0.0,32.0
b1607,20160513,3536.0,3536.0,3536.0,3536.0,0.0,0.0,32.0
b1607,20160516,3399.0,3536.0,3399.0,3399.0,2.0,67980.0,30.0
b1607,20160517,3399.0,3399.0,3399.0,3399.0,0.0,0.0,30.0
b1607,20160518,3534.0,3399.0,3399.0,3534.0,2.0,70680.0,30.0
b1607,20160519,3534.0,3534.0,3534.0,3534.0,0.0,0.0,30.0
b1607,20160520,3534.0,3534.0,3420.0,3420.0,2.0,68400.0,28.0
b1607,20160523,3420.0,3420.0,3412.0,3412.0,8.0,272960.0,36.0
b1607,20160524,3548.0,3412.0,3412.0,3548.0,20.0,700800.0,32.0
b1607,20160525,3644.0,3548.0,3548.0,3600.0,20.0,724140.0,40.0
b1607,20160526,3738.0,3600.0,3502.0,3734.0,68.0,2471940.0,48.0
b1607,20160527,3750.0,3734.0,3569.0,3750.0,28.0,1034940.0,46.0
b1607,20160530,3750.0,3750.0,3750.0,3750.0,0.0,0.0,46.0
b1607,20160531,3711.0,3711.0,3711.0,3711.0,0.0,0.0,46.0
