InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
cu9995,20160503,38030.0,37940.0,37460.0,37940.0,37712.0,7107657100.0,116292.0
cu9995,20160504,37820.0,37690.0,37170.0,37260.0,53570.0,10015510800.0,121066.0
cu9995,20160505,37350.0,37270.0,36850.0,36880.0,60932.0,11296438000.0,125438.0
cu9995,20160506,36950.0,36840.0,36360.0,36630.0,58042.0,10624736400.0,125434.0
cu9995,20160509,37000.0,36530.0,35830.0,35900.0,113548.0,20594740500.0,141654.0
cu9995,20160510,36120.0,35800.0,35710.0,35980.0,79644.0,14298309000.0,146310.0
cu9995,20160511,36120.0,35910.0,35710.0,36020.0,83716.0,15049323400.0,155676.0
cu9995,20160512,36540.0,36120.0,35860.0,36300.0,115288.0,20875134700.0,162070.0
cu9995,20160513,36420.0,36250.0,35080.0,35540.0,197864.0,35218807800.0,179744.0
cu9995,20160516,35810.0,35440.0,35170.0,35650.0,112504.0,19970197500.0,181538.0
cu9995,20160517,35980.0,35600.0,35560.0,35920.0,111302.0,19937499000.0,186208.0
cu9995,20160518,36000.0,35760.0,35360.0,35430.0,38500.0,6863916400.0,84786.0
cu9995,20160519,35660.0,35300.0,35110.0,35210.0,44752.0,7913654800.0,89706.0
cu9995,20160520,35460.0,35190.0,34840.0,35370.0,41068.0,7234239000.0,95802.0
cu9995,20160523,35590.0,35500.0,34900.0,35190.0,54178.0,9524093500.0,100880.0
cu9995,20160524,35360.0,35180.0,35040.0,35190.0,30788.0,5421565600.0,104430.0
cu9995,20160525,35680.0,35490.0,35280.0,35500.0,43372.0,7699527700.0,106816.0
cu9995,20160526,36080.0,35710.0,35620.0,36050.0,51234.0,9182021000.0,113688.0
cu9995,20160527,36210.0,36060.0,35630.0,35890.0,53560.0,9607998000.0,115594.0
cu9995,20160530,36050.0,36010.0,35640.0,35720.0,49864.0,8918937700.0,121846.0
cu9995,20160531,36010.0,35760.0,35650.0,35820.0,44696.0,8005235800.0,129570.0
