InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
ni1705,20160517,72600.0,71390.0,69300.0,71650.0,208.0,14830200.0,76.0
ni1705,20160518,71960.0,71650.0,70510.0,70750.0,88.0,6258120.0,100.0
ni1705,20160519,71280.0,70750.0,70320.0,70650.0,124.0,8789740.0,150.0
ni1705,20160520,70850.0,70650.0,70010.0,70560.0,166.0,11716240.0,206.0
ni1705,20160523,70570.0,70560.0,69000.0,69350.0,302.0,21009800.0,334.0
ni1705,20160524,69550.0,69350.0,68740.0,69220.0,268.0,18558900.0,420.0
ni1705,20160525,69940.0,69220.0,69000.0,69000.0,202.0,14011820.0,500.0
ni1705,20160526,69750.0,69000.0,69000.0,69460.0,122.0,8461840.0,516.0
ni1705,20160527,69920.0,69460.0,68530.0,69550.0,74.0,5119020.0,522.0
ni1705,20160530,69810.0,69550.0,68760.0,69250.0,78.0,5411620.0,520.0
ni1705,20160531,70670.0,69250.0,69250.0,70200.0,214.0,15037880.0,632.0
