InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
IC1606,20160601,5965.6,5925.0,5892.0,5899.8,13944.0,16535411880.0,25970.0
IC1606,20160602,5946.8,5908.0,5896.2,5937.8,12429.0,14720281120.0,25030.0
IC1606,20160603,6019.4,5950.0,5908.4,6003.6,15181.0,18095355760.0,24545.0
IC1606,20160606,6037.4,6020.0,5956.2,5974.0,12536.0,15019460760.0,23226.0
IC1606,20160607,6017.6,5983.0,5947.4,6016.6,12039.0,14400486880.0,22547.0
IC1606,20160608,6027.0,5998.0,5931.6,5995.8,13144.0,15702541640.0,21343.0
IC1606,20160613,5977.8,5910.0,5721.0,5732.0,15848.0,18670464000.0,19235.0
IC1606,20160614,5774.0,5740.0,5689.0,5723.4,13728.0,15731952160.0,16373.0
IC1606,20160615,5963.8,5688.0,5678.8,5920.0,13782.0,16149654440.0,12836.0
IC1606,20160616,5950.0,5920.2,5883.2,5912.8,9201.0,10906129840.0,6582.0
IC1606,20160617,6012.4,5940.0,5940.0,5962.4,5041.0,6022441440.0,2413.0
