InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
IH1606,20160601,2145.0,2141.4,2125.2,2126.4,4981.0,3191753940.0,12837.0
IH1606,20160602,2136.4,2129.0,2120.2,2126.6,3693.0,2356312440.0,12456.0
IH1606,20160603,2149.8,2136.8,2125.6,2142.8,4722.0,3025508220.0,12324.0
IH1606,20160606,2153.8,2142.0,2127.2,2129.8,4100.0,2624020860.0,11711.0
IH1606,20160607,2139.6,2135.6,2130.4,2132.6,3439.0,2201467620.0,11285.0
IH1606,20160608,2134.0,2134.0,2114.6,2127.4,3816.0,2431549260.0,10957.0
IH1606,20160613,2113.0,2097.2,2060.6,2060.6,5337.0,3358997340.0,10044.0
IH1606,20160614,2093.6,2067.8,2065.0,2084.0,5223.0,3260697420.0,8145.0
IH1606,20160615,2110.4,2063.0,2061.2,2092.6,5583.0,3498691440.0,5724.0
IH1606,20160616,2098.2,2086.6,2084.2,2092.6,3877.0,2433602340.0,3168.0
IH1606,20160617,2116.6,2095.2,2095.2,2103.4,2617.0,1655262900.0,919.0
