InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
pb9996,20160601,12820.0,12700.0,12685.0,12700.0,2668.0,169746700.0,7952.0
pb9996,20160602,12905.0,12685.0,12685.0,12895.0,4744.0,304263850.0,8562.0
pb9996,20160603,12915.0,12900.0,12740.0,12810.0,2288.0,146805950.0,9034.0
pb9996,20160606,12875.0,12830.0,12805.0,12830.0,2846.0,182698300.0,9628.0
pb9996,20160607,12895.0,12780.0,12755.0,12780.0,2952.0,189210000.0,9992.0
pb9996,20160608,12800.0,12740.0,12720.0,12740.0,3084.0,196763650.0,10446.0
pb9996,20160613,12885.0,12875.0,12670.0,12875.0,2522.0,161604000.0,10852.0
pb9996,20160614,12890.0,12850.0,12740.0,12755.0,3732.0,238982350.0,11868.0
pb9996,20160615,12945.0,12830.0,12730.0,12830.0,3582.0,229111300.0,11800.0
pb9996,20160616,12940.0,12875.0,12700.0,12805.0,5006.0,320449650.0,12118.0
pb9996,20160617,12910.0,12880.0,12810.0,12880.0,560.0,36026850.0,1482.0
pb9996,20160620,12875.0,12875.0,12760.0,12800.0,398.0,25524900.0,1548.0
pb9996,20160621,12895.0,12860.0,12830.0,12860.0,506.0,32550750.0,1630.0
pb9996,20160622,12915.0,12825.0,12815.0,12915.0,188.0,12082850.0,1700.0
pb9996,20160623,12950.0,12870.0,12820.0,12870.0,668.0,42966950.0,1894.0
pb9996,20160624,12915.0,12770.0,12755.0,12770.0,2108.0,135127250.0,2588.0
pb9996,20160627,12905.0,12895.0,12795.0,12895.0,660.0,42377550.0,2748.0
pb9996,20160628,12950.0,12935.0,12830.0,12935.0,1550.0,99896350.0,3382.0
pb9996,20160629,13085.0,12965.0,12830.0,12965.0,3956.0,256221300.0,5354.0
pb9996,20160630,13310.0,12950.0,12950.0,13210.0,6676.0,436885550.0,7068.0
