InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
SF706,20160708,4486.0,4272.0,4000.0,4486.0,4002.0,16008000.0,4002.0
SF706,20160711,4160.0,4486.0,4134.0,4160.0,10.0,41560.0,4010.0
SF706,20160712,4436.0,4160.0,4274.0,4332.0,36.0,156816.0,4012.0
SF706,20160713,4474.0,4332.0,4252.0,4252.0,24.0,104928.0,4008.0
SF706,20160714,4328.0,4252.0,4212.0,4328.0,6.0,25512.0,4010.0
SF706,20160715,4418.0,4328.0,4132.0,4310.0,20.0,86600.0,4012.0
SF706,20160718,4210.0,4310.0,4210.0,4210.0,4.0,16840.0,4008.0
SF706,20160719,4210.0,4210.0,4210.0,4210.0,2.0,8420.0,4008.0
SF706,20160721,4102.0,4210.0,4102.0,4102.0,2.0,8204.0,4006.0
SF706,20160727,4234.0,4410.0,4234.0,4234.0,2.0,8468.0,4006.0
