InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
SM9999,20160701,4730.0,4674.0,4660.0,4726.0,28.0,131376.0,140.0
SM9999,20160704,4880.0,4726.0,4710.0,4850.0,218.0,1051196.0,196.0
SM9999,20160705,4744.0,4850.0,4644.0,4658.0,188.0,876456.0,174.0
SM9999,20160706,4654.0,4658.0,4522.0,4654.0,54.0,247536.0,154.0
SM9999,20160707,4688.0,4654.0,4610.0,4620.0,54.0,250668.0,144.0
SM9999,20160708,4684.0,4620.0,4600.0,4636.0,78.0,361296.0,114.0
SM9999,20160711,4796.0,4636.0,4624.0,4760.0,110.0,520740.0,116.0
SM9999,20160712,4800.0,4760.0,4752.0,4778.0,26.0,124332.0,112.0
SM9999,20160713,4878.0,4778.0,4750.0,4750.0,82.0,394912.0,116.0
SM9999,20160714,4776.0,4750.0,4748.0,4776.0,12.0,57120.0,112.0
SM9999,20160715,4802.0,4776.0,4744.0,4802.0,4.0,19096.0,110.0
SM9999,20160718,4878.0,4802.0,4738.0,4840.0,176.0,853600.0,170.0
SM9999,20160719,5044.0,4840.0,4888.0,5042.0,562.0,2806628.0,440.0
SM9999,20160720,5194.0,5042.0,5050.0,5194.0,1334.0,6918124.0,1148.0
SM9999,20160721,5550.0,5386.0,5002.0,5550.0,3524.0,19163512.0,2286.0
SM9999,20160722,5696.0,5600.0,5500.0,5650.0,6070.0,34040560.0,3852.0
SM9999,20160725,5834.0,5670.0,5592.0,5834.0,7584.0,43714176.0,6496.0
SM9999,20160726,6088.0,5884.0,5800.0,5936.0,25764.0,153759552.0,8820.0
SM9999,20160727,5996.0,5960.0,5870.0,5964.0,22898.0,135830936.0,11264.0
SM9999,20160728,6076.0,5976.0,5932.0,6034.0,18352.0,110148704.0,11602.0
SM9999,20160729,6098.0,6100.0,5870.0,5900.0,21136.0,125759200.0,11564.0
