InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
hc1705,20160701,2461.0,2425.0,2400.0,2419.0,90.0,2185780.0,872.0
hc1705,20160704,2515.0,2419.0,2419.0,2506.0,412.0,10233860.0,818.0
hc1705,20160705,2530.0,2506.0,2423.0,2490.0,248.0,6145680.0,832.0
hc1705,20160706,2492.0,2490.0,2425.0,2449.0,128.0,3129380.0,870.0
hc1705,20160707,2540.0,2449.0,2418.0,2479.0,176.0,4380380.0,840.0
hc1705,20160708,2505.0,2479.0,2450.0,2505.0,218.0,5371620.0,890.0
hc1705,20160711,2533.0,2505.0,2454.0,2486.0,118.0,2938300.0,902.0
hc1705,20160712,2590.0,2486.0,2501.0,2588.0,288.0,7350800.0,878.0
hc1705,20160713,2620.0,2588.0,2555.0,2579.0,258.0,6633020.0,760.0
hc1705,20160714,2594.0,2579.0,2550.0,2580.0,98.0,2519940.0,740.0
hc1705,20160715,2606.0,2580.0,2556.0,2574.0,36.0,929520.0,740.0
hc1705,20160718,2577.0,2574.0,2427.0,2427.0,228.0,5679920.0,872.0
hc1705,20160719,2436.0,2427.0,2343.0,2389.0,314.0,7510280.0,946.0
hc1705,20160720,2406.0,2389.0,2369.0,2380.0,328.0,7812360.0,1132.0
hc1705,20160721,2492.0,2380.0,2380.0,2467.0,188.0,4580380.0,1032.0
hc1705,20160722,2471.0,2467.0,2401.0,2410.0,178.0,4333100.0,1036.0
hc1705,20160725,2490.0,2410.0,2392.0,2455.0,216.0,5233100.0,1050.0
hc1705,20160726,2485.0,2455.0,2426.0,2482.0,178.0,4360320.0,1092.0
hc1705,20160727,2548.0,2482.0,2476.0,2516.0,416.0,10460280.0,1022.0
hc1705,20160728,2585.0,2516.0,2530.0,2573.0,234.0,5998040.0,1034.0
hc1705,20160729,2580.0,2573.0,2506.0,2511.0,168.0,4274280.0,1016.0
