InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
l1701,20160701,8570.0,8410.0,8340.0,8540.0,87236.0,3693821250.0,176488.0
l1701,20160704,8885.0,8690.0,8590.0,8885.0,110434.0,4839685300.0,173206.0
l1701,20160705,9010.0,8845.0,8650.0,8950.0,172374.0,7608554050.0,179766.0
l1701,20160706,8920.0,8710.0,8665.0,8820.0,148244.0,6516189900.0,178516.0
l1701,20160707,8970.0,8830.0,8740.0,8780.0,102658.0,4546505550.0,186708.0
l1701,20160708,8695.0,8695.0,8425.0,8485.0,127288.0,5434276650.0,199612.0
l1701,20160711,8660.0,8510.0,8450.0,8625.0,104856.0,4489350750.0,221440.0
l1701,20160712,8890.0,8600.0,8600.0,8855.0,135496.0,5956220500.0,222344.0
l1701,20160713,8950.0,8900.0,8710.0,8740.0,145206.0,6422148450.0,235960.0
l1701,20160714,8885.0,8700.0,8645.0,8820.0,137922.0,6057671850.0,242680.0
l1701,20160715,8840.0,8800.0,8670.0,8815.0,132764.0,5824594300.0,244638.0
l1701,20160718,8930.0,8770.0,8670.0,8790.0,140248.0,6172288250.0,256852.0
l1701,20160719,8820.0,8800.0,8500.0,8580.0,166344.0,7192218000.0,277292.0
l1701,20160720,8635.0,8560.0,8485.0,8570.0,125088.0,5347197350.0,281410.0
l1701,20160721,8770.0,8595.0,8570.0,8745.0,127936.0,5554420050.0,287030.0
l1701,20160722,8830.0,8685.0,8685.0,8720.0,158434.0,6933015250.0,292858.0
l1701,20160725,8710.0,8680.0,8530.0,8575.0,153042.0,6583358250.0,308904.0
l1701,20160726,8530.0,8525.0,8345.0,8415.0,272740.0,11460850100.0,349528.0
l1701,20160727,8500.0,8460.0,8370.0,8425.0,180796.0,7622750250.0,346588.0
l1701,20160728,8810.0,8410.0,8400.0,8805.0,379346.0,16434946850.0,339272.0
l1701,20160729,8810.0,8795.0,8680.0,8750.0,254068.0,11103750600.0,358070.0
