InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
zn1607,20160701,16490.0,16370.0,16220.0,16460.0,2960.0,241921250.0,26850.0
zn1607,20160704,16945.0,16460.0,16460.0,16650.0,3450.0,288093000.0,26600.0
zn1607,20160705,16650.0,16650.0,16230.0,16340.0,3430.0,280724500.0,25410.0
zn1607,20160706,16495.0,16340.0,16155.0,16320.0,3050.0,248498000.0,24270.0
zn1607,20160707,16460.0,16320.0,16055.0,16270.0,3740.0,305984500.0,22990.0
zn1607,20160708,16400.0,16270.0,16180.0,16355.0,4500.0,366412500.0,22000.0
zn1607,20160711,16700.0,16355.0,16400.0,16685.0,2700.0,223229000.0,21940.0
zn1607,20160712,16715.0,16685.0,16570.0,16640.0,3390.0,281796750.0,21490.0
zn1607,20160713,17110.0,16640.0,16790.0,17055.0,1580.0,133668000.0,21130.0
zn1607,20160714,16840.0,17055.0,16570.0,16840.0,1760.0,147399500.0,21440.0
zn1607,20160715,16900.0,16840.0,16670.0,16890.0,1140.0,95877000.0,21260.0
