InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
AP007,20200506,7325.0,7297.0,7072.0,7249.0,10740.0,77199120.0,8795.0
AP007,20200507,7300.0,7206.0,7206.0,7226.0,6122.0,44433476.0,8738.0
AP007,20200508,7277.0,7222.0,7155.0,7270.0,6604.0,47641256.0,8749.0
AP007,20200511,7320.0,7300.0,7185.0,7229.0,6355.0,46054685.0,8244.0
AP007,20200512,7269.0,7268.0,7075.0,7108.0,6271.0,44862734.0,8313.0
AP007,20200513,7095.0,7095.0,6983.0,7005.0,3764.0,26472212.0,8064.0
AP007,20200514,6992.0,6992.0,6766.0,6888.0,14404.0,98912268.0,8117.0
AP007,20200515,6915.0,6915.0,6836.0,6863.0,4277.0,29365882.0,7767.0
AP007,20200518,6987.0,6955.0,6822.0,6863.0,4458.0,30639834.0,7563.0
AP007,20200519,6880.0,6880.0,6839.0,6869.0,2045.0,14034835.0,7278.0
AP007,20200520,6950.0,6875.0,6854.0,6887.0,2742.0,18886896.0,7242.0
AP007,20200521,6895.0,6866.0,6830.0,6840.0,2236.0,15345668.0,6879.0
AP007,20200522,6846.0,6822.0,6780.0,6830.0,2450.0,16691850.0,6762.0
AP007,20200525,6864.0,6818.0,6779.0,6784.0,1670.0,11392740.0,6663.0
