InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
CY9991,20200507,18945.0,18945.0,18945.0,18945.0,1.0,18945.0,2.0
CY9991,20200508,19975.0,19975.0,19865.0,19950.0,6.0,119580.0,10.0
CY9991,20200511,17260.0,17005.0,17005.0,17260.0,2.0,34270.0,157.0
CY9991,20200512,19950.0,19950.0,19780.0,19780.0,6.0,119040.0,12.0
CY9991,20200513,19870.0,19870.0,19760.0,19760.0,3.0,59385.0,13.0
CY9991,20200514,19730.0,19730.0,19730.0,19730.0,1.0,19730.0,12.0
CY9991,20200515,17900.0,17900.0,17900.0,17900.0,2.0,35800.0,124.0
CY9991,20200518,20105.0,20100.0,19925.0,19930.0,15.0,300075.0,18.0
CY9991,20200519,20115.0,19965.0,19965.0,19980.0,7.0,140315.0,20.0
CY9991,20200520,20200.0,20035.0,20035.0,20080.0,8.0,160920.0,18.0
CY9991,20200521,20120.0,20110.0,20025.0,20025.0,3.0,60255.0,15.0
CY9991,20200522,20000.0,20000.0,19935.0,19935.0,3.0,59895.0,16.0
CY9991,20200525,19905.0,19905.0,19885.0,19885.0,3.0,59670.0,16.0
