InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
c2007,20200506,2065.0,2057.0,2055.0,2060.0,5317.0,109584050.0,50694.0
c2007,20200507,2061.0,2061.0,2040.0,2046.0,13104.0,269173380.0,51617.0
c2007,20200508,2048.0,2046.0,2031.0,2038.0,11580.0,235992960.0,51280.0
c2007,20200511,2042.0,2037.0,2019.0,2021.0,12670.0,257083960.0,50406.0
c2007,20200512,2026.0,2020.0,2014.0,2018.0,8596.0,173713280.0,50048.0
c2007,20200513,2032.0,2020.0,2017.0,2021.0,12911.0,261345850.0,49474.0
c2007,20200514,2027.0,2022.0,2011.0,2012.0,19166.0,386922360.0,51973.0
c2007,20200515,2020.0,2012.0,1999.0,1999.0,11528.0,231789720.0,51205.0
c2007,20200518,2018.0,2001.0,2000.0,2015.0,15107.0,303681340.0,52437.0
c2007,20200519,2016.0,2014.0,2008.0,2012.0,5198.0,104612720.0,52799.0
c2007,20200520,2011.0,2011.0,1988.0,2006.0,16225.0,324392950.0,49641.0
c2007,20200521,2019.0,2002.0,1994.0,1997.0,15733.0,316039220.0,47329.0
c2007,20200522,2002.0,1991.0,1989.0,1992.0,11506.0,229687410.0,46148.0
c2007,20200525,2012.0,1990.0,1990.0,2007.0,12865.0,257737330.0,45255.0
