InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
eg2006,20200506,3781.0,3650.0,3538.0,3568.0,245.0,8779130.0,4518.0
eg2006,20200507,3597.0,3580.0,3341.0,3557.0,185.0,6618650.0,4516.0
eg2006,20200508,3585.0,3577.0,3490.0,3526.0,1038.0,37063500.0,3571.0
eg2006,20200511,3663.0,3570.0,3374.0,3464.0,110.0,3841660.0,3530.0
eg2006,20200512,3492.0,3492.0,3398.0,3440.0,274.0,9438490.0,3504.0
eg2006,20200513,3483.0,3450.0,3389.0,3450.0,557.0,19154960.0,3259.0
eg2006,20200514,3505.0,3438.0,3438.0,3505.0,65.0,2252040.0,3257.0
eg2006,20200515,3566.0,3546.0,3534.0,3566.0,64.0,2277370.0,3249.0
eg2006,20200518,3615.0,3558.0,3523.0,3562.0,365.0,12980180.0,3051.0
eg2006,20200519,3606.0,3528.0,3518.0,3566.0,261.0,9263730.0,3012.0
eg2006,20200520,3596.0,3539.0,3538.0,3596.0,44.0,1574960.0,3012.0
eg2006,20200521,3630.0,3579.0,3552.0,3630.0,867.0,31047600.0,2182.0
eg2006,20200522,3649.0,3639.0,3492.0,3526.0,90.0,3202350.0,2126.0
eg2006,20200525,3596.0,3513.0,3498.0,3596.0,39.0,1388440.0,2134.0
