代码,名称
AG2006.SHF,沪银2006
AG2007.SHF,沪银2007
AG2008.SHF,沪银2008
AG2009.SHF,沪银2009
AG2010.SHF,沪银2010
AG2011.SHF,沪银2011
AG2012.SHF,沪银2012
AG2101.SHF,沪银2101
AG2102.SHF,沪银2102
AG2103.SHF,沪银2103
AG2104.SHF,沪银2104
AG2105.SHF,沪银2105
AL2006.SHF,沪铝2006
AL2007.SHF,沪铝2007
AL2008.SHF,沪铝2008
AL2009.SHF,沪铝2009
AL2010.SHF,沪铝2010
AL2011.SHF,沪铝2011
AL2012.SHF,沪铝2012
AL2101.SHF,沪铝2101
AL2102.SHF,沪铝2102
AL2103.SHF,沪铝2103
AL2104.SHF,沪铝2104
AL2105.SHF,沪铝2105
AU2006.SHF,沪金2006
AU2007.SHF,沪金2007
AU2008.SHF,沪金2008
AU2010.SHF,沪金2010
AU2012.SHF,沪金2012
AU2102.SHF,沪金2102
AU2104.SHF,沪金2104
AU2106.SHF,沪金2106
BU2006.SHF,沥青2006
BU2007.SHF,沥青2007
BU2008.SHF,沥青2008
BU2009.SHF,沥青2009
BU2010.SHF,沥青2010
BU2011.SHF,沥青2011
BU2012.SHF,沥青2012
BU2103.SHF,沥青2103
BU2106.SHF,沥青2106
BU2109.SHF,沥青2109
BU2112.SHF,沥青2112
BU2203.SHF,沥青2203
CU2006.SHF,沪铜2006
CU2007.SHF,沪铜2007
CU2008.SHF,沪铜2008
CU2009.SHF,沪铜2009
CU2010.SHF,沪铜2010
CU2011.SHF,沪铜2011
CU2012.SHF,沪铜2012
CU2101.SHF,沪铜2101
CU2102.SHF,沪铜2102
CU2103.SHF,沪铜2103
CU2104.SHF,沪铜2104
CU2105.SHF,沪铜2105
FU2006.SHF,燃油2006
FU2007.SHF,燃油2007
FU2008.SHF,燃油2008
FU2009.SHF,燃油2009
FU2010.SHF,燃油2010
FU2011.SHF,燃油2011
FU2012.SHF,燃油2012
FU2101.SHF,燃油2101
FU2102.SHF,燃油2102
FU2103.SHF,燃油2103
FU2104.SHF,燃油2104
FU2105.SHF,燃油2105
HC2006.SHF,热轧卷板2006
HC2007.SHF,热轧卷板2007
HC2008.SHF,热轧卷板2008
HC2009.SHF,热轧卷板2009
HC2010.SHF,热轧卷板2010
HC2011.SHF,热轧卷板2011
HC2012.SHF,热轧卷板2012
HC2101.SHF,热轧卷板2101
HC2102.SHF,热轧卷板2102
HC2103.SHF,热轧卷板2103
HC2104.SHF,热轧卷板2104
HC2105.SHF,热轧卷板2105
NI2006.SHF,沪镍2006
NI2007.SHF,沪镍2007
NI2008.SHF,沪镍2008
NI2009.SHF,沪镍2009
NI2010.SHF,沪镍2010
NI2011.SHF,沪镍2011
NI2012.SHF,沪镍2012
NI2101.SHF,沪镍2101
NI2102.SHF,沪镍2102
NI2103.SHF,沪镍2103
NI2104.SHF,沪镍2104
NI2105.SHF,沪镍2105
NR2006.INE,20号胶2006
NR2007.INE,20号胶2007
NR2008.INE,20号胶2008
NR2009.INE,20号胶2009
NR2010.INE,20号胶2010
NR2011.INE,20号胶2011
NR2012.INE,20号胶2012
NR2101.INE,20号胶2101
NR2102.INE,20号胶2102
NR2103.INE,20号胶2103
NR2104.INE,20号胶2104
NR2105.INE,20号胶2105
PB2006.SHF,沪铅2006
PB2007.SHF,沪铅2007
PB2008.SHF,沪铅2008
PB2009.SHF,沪铅2009
PB2010.SHF,沪铅2010
PB2011.SHF,沪铅2011
PB2012.SHF,沪铅2012
PB2101.SHF,沪铅2101
PB2102.SHF,沪铅2102
PB2103.SHF,沪铅2103
PB2104.SHF,沪铅2104
PB2105.SHF,沪铅2105
RB2006.SHF,螺纹钢2006
RB2007.SHF,螺纹钢2007
RB2008.SHF,螺纹钢2008
RB2009.SHF,螺纹钢2009
RB2010.SHF,螺纹钢2010
RB2011.SHF,螺纹钢2011
RB2012.SHF,螺纹钢2012
RB2101.SHF,螺纹钢2101
RB2102.SHF,螺纹钢2102
RB2103.SHF,螺纹钢2103
RB2104.SHF,螺纹钢2104
RB2105.SHF,螺纹钢2105
RU2006.SHF,橡胶2006
RU2007.SHF,橡胶2007
RU2008.SHF,橡胶2008
RU2009.SHF,橡胶2009
RU2010.SHF,橡胶2010
RU2011.SHF,橡胶2011
RU2101.SHF,橡胶2101
RU2103.SHF,橡胶2103
RU2104.SHF,橡胶2104
RU2105.SHF,橡胶2105
SC2006.INE,原油2006
SC2007.INE,原油2007
SC2007TAS.INE,原油2007TAS(仿真)
SC2008.INE,原油2008
SC2008TAS.INE,原油2008TAS(仿真)
SC2009.INE,原油2009
SC2010.INE,原油2010
SC2011.INE,原油2011
SC2012.INE,原油2012
SC2101.INE,原油2101
SC2102.INE,原油2102
SC2103.INE,原油2103
SC2104.INE,原油2104
SC2105.INE,原油2105
SC2106.INE,原油2106
SC2109.INE,原油2109
SC2112.INE,原油2112
SC2203.INE,原油2203
SC2206.INE,原油2206
SC2209.INE,原油2209
SC2212.INE,原油2212
SC2303.INE,原油2303
SN2006.SHF,沪锡2006
SN2007.SHF,沪锡2007
SN2008.SHF,沪锡2008
SN2009.SHF,沪锡2009
SN2010.SHF,沪锡2010
SN2011.SHF,沪锡2011
SN2012.SHF,沪锡2012
SN2101.SHF,沪锡2101
SN2102.SHF,沪锡2102
SN2103.SHF,沪锡2103
SN2104.SHF,沪锡2104
SN2105.SHF,沪锡2105
SP2006.SHF,纸浆2006
SP2007.SHF,纸浆2007
SP2008.SHF,纸浆2008
SP2009.SHF,纸浆2009
SP2010.SHF,纸浆2010
SP2011.SHF,纸浆2011
SP2012.SHF,纸浆2012
SP2101.SHF,纸浆2101
SP2102.SHF,纸浆2102
SP2103.SHF,纸浆2103
SP2104.SHF,纸浆2104
SP2105.SHF,纸浆2105
SS2006.SHF,不锈钢2006
SS2007.SHF,不锈钢2007
SS2008.SHF,不锈钢2008
SS2009.SHF,不锈钢2009
SS2010.SHF,不锈钢2010
SS2011.SHF,不锈钢2011
SS2012.SHF,不锈钢2012
SS2101.SHF,不锈钢2101
SS2102.SHF,不锈钢2102
SS2103.SHF,不锈钢2103
SS2104.SHF,不锈钢2104
SS2105.SHF,不锈钢2105
WR2006.SHF,线材2006
WR2007.SHF,线材2007
WR2008.SHF,线材2008
WR2009.SHF,线材2009
WR2010.SHF,线材2010
WR2011.SHF,线材2011
WR2012.SHF,线材2012
WR2101.SHF,线材2101
WR2102.SHF,线材2102
WR2103.SHF,线材2103
WR2104.SHF,线材2104
WR2105.SHF,线材2105
ZN2006.SHF,沪锌2006
ZN2007.SHF,沪锌2007
ZN2008.SHF,沪锌2008
ZN2009.SHF,沪锌2009
ZN2010.SHF,沪锌2010
ZN2011.SHF,沪锌2011
ZN2012.SHF,沪锌2012
ZN2101.SHF,沪锌2101
ZN2102.SHF,沪锌2102
ZN2103.SHF,沪锌2103
ZN2104.SHF,沪锌2104
ZN2105.SHF,沪锌2105
