代码,名称
600000.SH,浦发银行
600004.SH,白云机场
600007.SH,中国国贸
600008.SH,首创股份
600009.SH,上海机场
600010.SH,包钢股份
600011.SH,华能国际
600012.SH,皖通高速
600015.SH,华夏银行
600016.SH,民生银行
600018.SH,上港集团
600019.SH,宝钢股份
600020.SH,中原高速
600021.SH,上海电力
600025.SH,华能水电
600026.SH,中远海能
600027.SH,华电国际
600028.SH,中国石化
600029.SH,南方航空
600030.SH,中信证券
600031.SH,三一重工
600036.SH,招商银行
600038.SH,中直股份
600039.SH,四川路桥
600048.SH,保利地产
600050.SH,中国联通
600053.SH,九鼎投资
600056.SH,中国医药
600057.SH,厦门象屿
600061.SH,国投资本
600062.SH,华润双鹤
600066.SH,宇通客车
600068.SH,葛洲坝
600072.SH,中船科技
600073.SH,上海梅林
600085.SH,同仁堂
600089.SH,特变电工
600093.SH,易见股份
600094.SH,大名城
600104.SH,上汽集团
600105.SH,永鼎股份
600109.SH,国金证券
600111.SH,北方稀土
600115.SH,东方航空
600118.SH,中国卫星
600120.SH,浙江东方
600123.SH,兰花科创
600125.SH,铁龙物流
600132.SH,重庆啤酒
600136.SH,当代文体
600138.SH,中青旅
600141.SH,兴发集团
600150.SH,中国船舶
600153.SH,建发股份
600155.SH,华创阳安
600160.SH,巨化股份
600161.SH,天坛生物
600162.SH,香江控股
600167.SH,联美控股
600170.SH,上海建工
600171.SH,上海贝岭
600176.SH,中国巨石
600177.SH,雅戈尔
600180.SH,瑞茂通
600183.SH,生益科技
600185.SH,格力地产
600188.SH,兖州煤业
600196.SH,复星医药
600197.SH,伊力特
600201.SH,生物股份
600206.SH,有研新材
600208.SH,新湖中宝
600210.SH,紫江企业
600216.SH,浙江医药
600219.SH,南山铝业
600221.SH,海航控股
600230.SH,沧州大化
600231.SH,凌钢股份
600233.SH,圆通速递
600236.SH,桂冠电力
600239.SH,云南城投
600252.SH,中恒集团
600256.SH,广汇能源
600258.SH,首旅酒店
600260.SH,凯乐科技
600261.SH,阳光照明
600271.SH,航天信息
600273.SH,嘉化能源
600276.SH,恒瑞医药
600277.SH,亿利洁能
600282.SH,南钢股份
600284.SH,浦东建设
600285.SH,羚锐制药
600295.SH,鄂尔多斯
600297.SH,广汇汽车
600298.SH,安琪酵母
600299.SH,安迪苏
600305.SH,恒顺醋业
600309.SH,万华化学
600310.SH,桂东电力
600312.SH,平高电气
600315.SH,上海家化
600323.SH,瀚蓝环境
600325.SH,华发股份
600326.SH,西藏天路
600329.SH,中新药业
600332.SH,白云山
600335.SH,国机汽车
600337.SH,美克家居
600338.SH,西藏珠峰
600340.SH,华夏幸福
600346.SH,恒力石化
600348.SH,阳泉煤业
600350.SH,山东高速
600352.SH,浙江龙盛
600362.SH,江西铜业
600363.SH,联创光电
600366.SH,宁波韵升
600368.SH,五洲交通
600369.SH,西南证券
600372.SH,中航电子
600373.SH,中文传媒
600376.SH,首开股份
600377.SH,宁沪高速
600378.SH,昊华科技
600380.SH,健康元
600383.SH,金地集团
600387.SH,海越能源
600388.SH,龙净环保
600392.SH,盛和资源
600395.SH,盘江股份
600398.SH,海澜之家
600406.SH,国电南瑞
600409.SH,三友化工
600418.SH,江淮汽车
600420.SH,现代制药
600422.SH,昆药集团
600426.SH,华鲁恒升
600436.SH,片仔癀
600438.SH,通威股份
600439.SH,瑞贝卡
600446.SH,金证股份
600452.SH,涪陵电力
600459.SH,贵研铂业
600460.SH,士兰微
600466.SH,蓝光发展
600477.SH,杭萧钢构
600483.SH,福能股份
600486.SH,扬农化工
600487.SH,亨通光电
600489.SH,中金黄金
600491.SH,龙元建设
600498.SH,烽火通信
600499.SH,科达洁能
600500.SH,中化国际
600502.SH,安徽建工
600507.SH,方大特钢
600511.SH,国药股份
600516.SH,方大炭素
600519.SH,贵州茅台
600521.SH,华海药业
600522.SH,中天科技
600528.SH,中铁工业
600531.SH,豫光金铅
600535.SH,天士力
600536.SH,中国软件
600545.SH,卓郎智能
600547.SH,山东黄金
600548.SH,深高速
600549.SH,厦门钨业
600557.SH,康缘药业
600559.SH,老白干酒
600563.SH,法拉电子
600565.SH,迪马股份
600566.SH,济川药业
600567.SH,山鹰纸业
600570.SH,恒生电子
600572.SH,康恩贝
600577.SH,精达股份
600580.SH,卧龙电驱
600582.SH,天地科技
600583.SH,海油工程
600585.SH,海螺水泥
600587.SH,新华医疗
600588.SH,用友网络
600596.SH,新安股份
600597.SH,光明乳业
600598.SH,北大荒
600600.SH,青岛啤酒
600604.SH,市北高新
600606.SH,绿地控股
600611.SH,大众交通
600612.SH,老凤祥
600622.SH,光大嘉宝
600623.SH,华谊集团
600626.SH,申达股份
600635.SH,大众公用
600637.SH,东方明珠
600639.SH,浦东金桥
600641.SH,万业企业
600642.SH,申能股份
600643.SH,爱建集团
600648.SH,外高桥
600655.SH,豫园股份
600657.SH,信达地产
600660.SH,福耀玻璃
600661.SH,昂立教育
600663.SH,陆家嘴
600664.SH,哈药股份
600667.SH,太极实业
600668.SH,尖峰集团
600673.SH,东阳光
600674.SH,川投能源
600675.SH,中华企业
600681.SH,百川能源
600682.SH,南京新百
600685.SH,中船防务
600688.SH,上海石化
600690.SH,海尔智家
600693.SH,东百集团
600694.SH,大商股份
600699.SH,均胜电子
600702.SH,舍得酒业
600703.SH,三安光电
600704.SH,物产中大
600705.SH,中航资本
600708.SH,光明地产
600711.SH,盛屯矿业
600720.SH,祁连山
600728.SH,佳都科技
600729.SH,重庆百货
600733.SH,北汽蓝谷
600736.SH,苏州高新
600738.SH,兰州民百
600739.SH,辽宁成大
600740.SH,山西焦化
600741.SH,华域汽车
600742.SH,一汽富维
600745.SH,闻泰科技
600748.SH,上实发展
600750.SH,江中药业
600754.SH,锦江酒店
600755.SH,厦门国贸
600756.SH,浪潮软件
600760.SH,中航沈飞
600763.SH,通策医疗
600765.SH,中航重机
600771.SH,广誉远
600775.SH,南京熊猫
600777.SH,新潮能源
600779.SH,水井坊
600782.SH,新钢股份
600787.SH,中储股份
600795.SH,国电电力
600801.SH,华新水泥
600803.SH,新奥股份
600808.SH,马钢股份
600809.SH,山西汾酒
600811.SH,东方集团
600820.SH,隧道股份
600823.SH,世茂股份
600826.SH,兰生股份
600828.SH,茂业商业
600835.SH,上海机电
600837.SH,海通证券
600845.SH,宝信软件
600846.SH,同济科技
600848.SH,上海临港
600850.SH,华东电脑
600859.SH,王府井
600863.SH,内蒙华电
600867.SH,通化东宝
600871.SH,石化油服
600872.SH,中炬高新
600874.SH,创业环保
600875.SH,东方电气
600876.SH,洛阳玻璃
600879.SH,航天电子
600885.SH,宏发股份
600886.SH,国投电力
600887.SH,伊利股份
600893.SH,航发动力
600895.SH,张江高科
600897.SH,厦门空港
600900.SH,长江电力
600903.SH,贵州燃气
600909.SH,华安证券
600917.SH,重庆燃气
600919.SH,江苏银行
600926.SH,杭州银行
600928.SH,西安银行
600933.SH,爱柯迪
600958.SH,东方证券
600967.SH,内蒙一机
600968.SH,海油发展
600970.SH,中材国际
600971.SH,恒源煤电
600973.SH,宝胜股份
600975.SH,新五丰
600977.SH,中国电影
600985.SH,淮北矿业
600986.SH,科达股份
600987.SH,航民股份
600989.SH,宝丰能源
600990.SH,四创电子
600993.SH,马应龙
600996.SH,贵广网络
600998.SH,九州通
600999.SH,招商证券
601000.SH,唐山港
601001.SH,大同煤业
601002.SH,晋亿实业
601003.SH,柳钢股份
601005.SH,重庆钢铁
601006.SH,大秦铁路
601009.SH,南京银行
601012.SH,隆基股份
601016.SH,节能风电
601018.SH,宁波港
601019.SH,山东出版
601021.SH,春秋航空
601038.SH,一拖股份
601058.SH,赛轮轮胎
601066.SH,中信建投
601068.SH,中铝国际
601069.SH,西部黄金
601077.SH,渝农商行
601088.SH,中国神华
601098.SH,中南传媒
601099.SH,太平洋
601100.SH,恒立液压
601107.SH,四川成渝
601108.SH,财通证券
601111.SH,中国国航
601117.SH,中国化学
601128.SH,常熟银行
601138.SH,工业富联
601139.SH,深圳燃气
601155.SH,新城控股
601158.SH,重庆水务
601162.SH,天风证券
601166.SH,兴业银行
601169.SH,北京银行
601186.SH,中国铁建
601198.SH,东兴证券
601200.SH,上海环境
601211.SH,国泰君安
601216.SH,君正集团
601222.SH,林洋能源
601225.SH,陕西煤业
601229.SH,上海银行
601231.SH,环旭电子
601233.SH,桐昆股份
601236.SH,红塔证券
601238.SH,广汽集团
601288.SH,农业银行
601298.SH,青岛港
601311.SH,骆驼股份
601318.SH,中国平安
601319.SH,中国人保
601326.SH,秦港股份
601328.SH,交通银行
