代码,名称
688001.SH,华兴源创
688002.SH,睿创微纳
688003.SH,天准科技
688005.SH,容百科技
688006.SH,杭可科技
688007.SH,光峰科技
688008.SH,澜起科技
688009.SH,中国通号
688010.SH,福光股份
688011.SH,新光光电
688012.SH,中微公司
688015.SH,交控科技
688016.SH,心脉医疗
688018.SH,乐鑫科技
688019.SH,安集科技
688020.SH,方邦股份
688021.SH,奥福环保
688022.SH,瀚川智能
688023.SH,安恒信息
688025.SH,杰普特
688026.SH,洁特生物
688028.SH,沃尔德
688029.SH,南微医学
688030.SH,山石网科
688033.SH,天宜上佳
688036.SH,传音控股
688037.SH,芯源微
688039.SH,当虹科技
688051.SH,佳华科技
688058.SH,宝兰德
688066.SH,航天宏图
688068.SH,热景生物
688078.SH,龙软科技
688080.SH,映翰通
688081.SH,兴图新科
688085.SH,三友医疗
688086.SH,紫晶存储
688088.SH,虹软科技
688089.SH,嘉必优
688090.SH,瑞松科技
688096.SH,京源环保
688098.SH,申联生物
688099.SH,晶晨股份
688100.SH,威胜信息
688101.SH,三达膜
688108.SH,赛诺医疗
688111.SH,金山办公
688116.SH,天奈科技
688118.SH,普元信息
688122.SH,西部超导
688123.SH,聚辰股份
688126.SH,沪硅产业-U
688128.SH,中国电研
688138.SH,清溢光电
688139.SH,海尔生物
688158.SH,优刻得-W
688159.SH,有方科技
688166.SH,博瑞医药
688168.SH,安博通
688169.SH,石头科技
688177.SH,百奥泰-U
688178.SH,万德斯
688181.SH,八亿时空
688186.SH,广大特材
688188.SH,柏楚电子
688189.SH,南新制药
688196.SH,卓越新能
688198.SH,佰仁医疗
688199.SH,久日新材
688200.SH,华峰测控
688202.SH,美迪西
688208.SH,道通科技
688218.SH,江苏北人
688222.SH,成都先导
688228.SH,开普云
688233.SH,神工股份
688258.SH,卓易信息
688266.SH,泽璟制药-U
688268.SH,华特气体
688278.SH,特宝生物
688288.SH,鸿泉物联
688298.SH,东方生物
688299.SH,长阳科技
688300.SH,联瑞新材
688310.SH,迈得医疗
688318.SH,财富趋势
688321.SH,微芯生物
688333.SH,铂力特
688357.SH,建龙微纳
688358.SH,祥生医疗
688363.SH,华熙生物
688365.SH,光云科技
688366.SH,昊海生科
688368.SH,晶丰明源
688369.SH,致远互联
688388.SH,嘉元科技
688389.SH,普门科技
688396.SH,华润微
688398.SH,赛特新材
688399.SH,硕世生物
688466.SH,金科环境
688516.SH,奥特维
688566.SH,吉贝尔
688588.SH,凌志软件
688598.SH,金博股份
