代码,名称
600000.SH,浦发银行
600004.SH,白云机场
600009.SH,上海机场
600010.SH,包钢股份
600011.SH,华能国际
600015.SH,华夏银行
600016.SH,民生银行
600018.SH,上港集团
600019.SH,宝钢股份
600025.SH,华能水电
600028.SH,中国石化
600029.SH,南方航空
600030.SH,中信证券
600031.SH,三一重工
600036.SH,招商银行
600038.SH,中直股份
600048.SH,保利地产
600050.SH,中国联通
600061.SH,国投资本
600066.SH,宇通客车
600068.SH,葛洲坝
600085.SH,同仁堂
600089.SH,特变电工
600104.SH,上汽集团
600109.SH,国金证券
600111.SH,北方稀土
600115.SH,东方航空
600118.SH,中国卫星
600150.SH,中国船舶
600155.SH,华创阳安
600176.SH,中国巨石
600177.SH,雅戈尔
600183.SH,生益科技
600188.SH,兖州煤业
600196.SH,复星医药
600201.SH,生物股份
600208.SH,新湖中宝
600271.SH,航天信息
600276.SH,恒瑞医药
600297.SH,广汇汽车
600298.SH,安琪酵母
600309.SH,万华化学
600332.SH,白云山
600340.SH,华夏幸福
600346.SH,恒力石化
600352.SH,浙江龙盛
600362.SH,江西铜业
600383.SH,金地集团
600398.SH,海澜之家
600406.SH,国电南瑞
600426.SH,华鲁恒升
600436.SH,片仔癀
600438.SH,通威股份
600487.SH,亨通光电
600489.SH,中金黄金
600516.SH,方大炭素
600519.SH,贵州茅台
600522.SH,中天科技
600528.SH,中铁工业
600535.SH,天士力
600547.SH,山东黄金
600570.SH,恒生电子
600572.SH,康恩贝
600585.SH,海螺水泥
600588.SH,用友网络
600598.SH,北大荒
600600.SH,青岛啤酒
600604.SH,市北高新
600606.SH,绿地控股
600635.SH,大众公用
600637.SH,东方明珠
600643.SH,爱建集团
600660.SH,福耀玻璃
600690.SH,海尔智家
600699.SH,均胜电子
600703.SH,三安光电
600705.SH,中航资本
600733.SH,北汽蓝谷
600741.SH,华域汽车
600760.SH,中航沈飞
600795.SH,国电电力
600809.SH,山西汾酒
600816.SH,*ST安信
600837.SH,海通证券
600848.SH,上海临港
600867.SH,通化东宝
600872.SH,中炬高新
600875.SH,东方电气
600886.SH,国投电力
600887.SH,伊利股份
600893.SH,航发动力
600895.SH,张江高科
600900.SH,长江电力
600909.SH,华安证券
600919.SH,江苏银行
600926.SH,杭州银行
600928.SH,西安银行
600958.SH,东方证券
600968.SH,海油发展
600977.SH,中国电影
600989.SH,宝丰能源
600999.SH,招商证券
601006.SH,大秦铁路
601009.SH,南京银行
601012.SH,隆基股份
601066.SH,中信建投
601088.SH,中国神华
601099.SH,太平洋
601108.SH,财通证券
601111.SH,中国国航
601138.SH,工业富联
601155.SH,新城控股
601162.SH,天风证券
601166.SH,兴业银行
601169.SH,北京银行
601186.SH,中国铁建
601198.SH,东兴证券
601211.SH,国泰君安
601225.SH,陕西煤业
601229.SH,上海银行
601233.SH,桐昆股份
601236.SH,红塔证券
601238.SH,广汽集团
601288.SH,农业银行
601298.SH,青岛港
601318.SH,中国平安
601319.SH,中国人保
601328.SH,交通银行
601336.SH,新华保险
601377.SH,兴业证券
601390.SH,中国中铁
601398.SH,工商银行
601555.SH,东吴证券
601577.SH,长沙银行
601598.SH,中国外运
601600.SH,中国铝业
601601.SH,中国太保
601607.SH,上海医药
601615.SH,明阳智能
601618.SH,中国中冶
601628.SH,中国人寿
601633.SH,长城汽车
601668.SH,中国建筑
601669.SH,中国电建
601688.SH,华泰证券
601698.SH,中国卫通
601727.SH,上海电气
601766.SH,中国中车
601788.SH,光大证券
601800.SH,中国交建
601818.SH,光大银行
601838.SH,成都银行
601857.SH,中国石油
601860.SH,紫金银行
601877.SH,正泰电器
601878.SH,浙商证券
601881.SH,中国银河
601888.SH,中国国旅
601899.SH,紫金矿业
601901.SH,方正证券
601933.SH,永辉超市
601939.SH,建设银行
601985.SH,中国核电
601988.SH,中国银行
601989.SH,中国重工
601990.SH,南京证券
601997.SH,贵阳银行
601998.SH,中信银行
603019.SH,中科曙光
603160.SH,汇顶科技
603259.SH,药明康德
603288.SH,海天味业
603317.SH,天味食品
603369.SH,今世缘
603589.SH,口子窖
603799.SH,华友钴业
603833.SH,欧派家居
603983.SH,丸美股份
603986.SH,兆易创新
603993.SH,洛阳钼业
