代码,名称
Ag(T+D).SGE,SGE白银T+D
Ag999.SGE,SGE白银999
Ag9999.SGE,SGE白银9999
Au(T+D).SGE,SGE黄金T+D
Au(T+N1).SGE,SGE黄金T+N1
Au(T+N2).SGE,SGE黄金T+N2
Au100g.SGE,SGE黄金100g
Au50g.SGE,SGE黄金50g
Au995.SGE,SGE黄金995
Au9995.SGE,SGE黄金9995
Au9999.SGE,SGE黄金9999
AUXCNY1MF.SGE,黄金(9995)1月远期
AUXCNY1WF.SGE,黄金(9995)1周远期
AUXCNY1YF.SGE,黄金(9995)1年远期
AUXCNY2WF.SGE,黄金(9995)2周远期
AUXCNY3MF.SGE,黄金(9995)3月远期
AUXCNY6MF.SGE,黄金(9995)6月远期
AUXCNY9MF.SGE,黄金(9995)9月远期
AUXCNYONF.SGE,黄金(9995)隔夜远期
AUYCNY1MF.SGE,黄金(9999)1月远期
AUYCNY1WF.SGE,黄金(9999)1周远期
AUYCNY1YF.SGE,黄金(9999)1年远期
AUYCNY2WF.SGE,黄金(9999)2周远期
AUYCNY3MF.SGE,黄金(9999)3月远期
AUYCNY6MF.SGE,黄金(9999)6月远期
AUYCNY9MF.SGE,黄金(9999)9月远期
AUYCNYONF.SGE,黄金(9999)隔夜远期
iAu100g.SGE,SGE国际板黄金100g
iAu995.SGE,SGE国际板黄金995
iAu9999.SGE,SGE国际板黄金9999
mAu(T+D).SGE,SGEMini黄金T+D
NYAuTN06.SGE,SGE沪纽金TN06
NYAuTN12.SGE,SGE沪纽金TN12
PAG1MF.SGE,白银(99.99)1月远期
PAG1WF.SGE,白银(99.99)1周远期
PAG1YF.SGE,白银(99.99)1年远期
PAG2WF.SGE,白银(99.99)2周远期
PAG3MF.SGE,白银(99.99)3月远期
PAG6MF.SGE,白银(99.99)6月远期
PAG9MF.SGE,白银(99.99)9月远期
PAGONF.SGE,白银(99.99)隔夜远期
PGC30g.SGE,SGE熊猫金币30g
Pt9995.SGE,SGE铂金9995
SHAG.SGE,上海银
SHAU.SGE,上海金
