代码,名称
000006.SZ,深振业A
000008.SZ,神州高铁
000009.SZ,中国宝安
000012.SZ,南玻A
000021.SZ,深科技
000025.SZ,特力A
000027.SZ,深圳能源
000028.SZ,国药一致
000031.SZ,大悦城
000039.SZ,中集集团
000050.SZ,深天马A
000060.SZ,中金岭南
000061.SZ,农产品
000062.SZ,深圳华强
000066.SZ,中国长城
000078.SZ,海王生物
000089.SZ,深圳机场
000090.SZ,天健集团
000156.SZ,华数传媒
000158.SZ,常山北明
000301.SZ,东方盛虹
000400.SZ,许继电气
000401.SZ,冀东水泥
000402.SZ,金融街
000426.SZ,兴业矿业
000488.SZ,晨鸣纸业
000501.SZ,鄂武商A
000513.SZ,丽珠集团
000519.SZ,中兵红箭
000528.SZ,柳工
000536.SZ,*ST华映
000537.SZ,广宇发展
000543.SZ,皖能电力
000547.SZ,航天发展
000553.SZ,安道麦A
000559.SZ,万向钱潮
000563.SZ,陕国投A
000564.SZ,供销大集
000581.SZ,威孚高科
000598.SZ,兴蓉环境
000600.SZ,建投能源
000623.SZ,吉林敖东
000636.SZ,风华高科
000681.SZ,视觉中国
000685.SZ,中山公用
000686.SZ,东北证券
000690.SZ,宝新能源
000712.SZ,锦龙股份
000717.SZ,韶钢松山
000718.SZ,苏宁环球
000727.SZ,*ST东科
000729.SZ,燕京啤酒
000732.SZ,泰禾集团
000738.SZ,航发控制
000750.SZ,国海证券
000758.SZ,中色股份
000761.SZ,本钢板材
000766.SZ,通化金马
000778.SZ,新兴铸管
000807.SZ,云铝股份
000813.SZ,德展健康
000825.SZ,太钢不锈
000826.SZ,启迪环境
000830.SZ,鲁西化工
000848.SZ,承德露露
000869.SZ,张裕A
000877.SZ,天山股份
000878.SZ,云南铜业
000883.SZ,湖北能源
000887.SZ,中鼎股份
000930.SZ,中粮科技
000932.SZ,华菱钢铁
000937.SZ,冀中能源
000959.SZ,首钢股份
000960.SZ,锡业股份
000967.SZ,盈峰环境
000970.SZ,中科三环
000975.SZ,银泰黄金
000980.SZ,众泰汽车
000983.SZ,西山煤电
000987.SZ,越秀金控
000988.SZ,华工科技
000990.SZ,诚志股份
000997.SZ,新大陆
000998.SZ,隆平高科
000999.SZ,华润三九
001872.SZ,招商港口
002002.SZ,鸿达兴业
002004.SZ,华邦健康
002013.SZ,中航机电
002019.SZ,亿帆医药
002028.SZ,思源电气
002030.SZ,达安基因
002038.SZ,双鹭药业
002048.SZ,宁波华翔
002049.SZ,紫光国微
002051.SZ,中工国际
002056.SZ,横店东磁
002064.SZ,华峰氨纶
002065.SZ,东华软件
002074.SZ,国轩高科
002075.SZ,沙钢股份
002078.SZ,太阳纸业
002085.SZ,万丰奥威
002092.SZ,中泰化学
002093.SZ,国脉科技
002110.SZ,三钢闽光
002118.SZ,紫鑫药业
002127.SZ,南极电商
002128.SZ,露天煤业
002129.SZ,中环股份
002131.SZ,利欧股份
002152.SZ,广电运通
002155.SZ,湖南黄金
002174.SZ,游族网络
002176.SZ,*ST江特
002180.SZ,纳思达
002183.SZ,怡亚通
002191.SZ,劲嘉股份
002195.SZ,二三四五
002203.SZ,海亮股份
002212.SZ,南洋股份
002217.SZ,合力泰
002221.SZ,东华能源
002223.SZ,鱼跃医疗
002233.SZ,塔牌集团
002242.SZ,九阳股份
002244.SZ,滨江集团
002249.SZ,大洋电机
002250.SZ,联化科技
002266.SZ,浙富控股
002268.SZ,卫士通
002273.SZ,水晶光电
002280.SZ,联络互动
002281.SZ,光迅科技
002285.SZ,世联行
002302.SZ,西部建设
002317.SZ,众生药业
002340.SZ,格林美
002353.SZ,杰瑞股份
002358.SZ,森源电气
002366.SZ,台海核电
002368.SZ,太极股份
002371.SZ,北方华创
002372.SZ,伟星新材
002373.SZ,千方科技
002375.SZ,亚厦股份
002382.SZ,蓝帆医疗
002384.SZ,东山精密
002385.SZ,大北农
002387.SZ,维信诺
002390.SZ,信邦制药
002399.SZ,海普瑞
002407.SZ,多氟多
002408.SZ,齐翔腾达
002414.SZ,高德红外
002416.SZ,爱施德
002419.SZ,天虹股份
002423.SZ,中粮资本
002424.SZ,贵州百灵
002426.SZ,*ST胜利
002434.SZ,万里扬
002437.SZ,誉衡药业
002439.SZ,启明星辰
002440.SZ,闰土股份
002444.SZ,巨星科技
002463.SZ,沪电股份
002465.SZ,海格通信
002470.SZ,金正大
002482.SZ,广田集团
002491.SZ,通鼎互联
002500.SZ,山西证券
002503.SZ,搜于特
002505.SZ,大康农业
002507.SZ,涪陵榨菜
002544.SZ,杰赛科技
002572.SZ,索菲亚
002573.SZ,清新环境
002583.SZ,海能达
002589.SZ,瑞康医药
002603.SZ,以岭药业
002625.SZ,光启技术
002635.SZ,安洁科技
002640.SZ,跨境通
002653.SZ,海思科
002665.SZ,首航高科
002670.SZ,国盛金控
002672.SZ,东江环保
002681.SZ,*ST奋达
002690.SZ,美亚光电
002701.SZ,奥瑞金
002709.SZ,天赐材料
002745.SZ,木林森
002797.SZ,第一创业
002807.SZ,江阴银行
002812.SZ,恩捷股份
002815.SZ,崇达技术
002818.SZ,富森美
002821.SZ,凯莱英
002831.SZ,裕同科技
002839.SZ,张家港行
002867.SZ,周大生
002920.SZ,德赛西威
002925.SZ,盈趣科技
002926.SZ,华西证券
002936.SZ,郑州银行
002941.SZ,新疆交建
002946.SZ,新乳业
002948.SZ,青岛银行
002957.SZ,科瑞技术
300001.SZ,特锐德
300002.SZ,神州泰岳
300009.SZ,安科生物
300010.SZ,立思辰
300012.SZ,华测检测
300014.SZ,亿纬锂能
300026.SZ,红日药业
300027.SZ,华谊兄弟
300058.SZ,蓝色光标
300072.SZ,三聚环保
300088.SZ,长信科技
300113.SZ,顺网科技
300115.SZ,长盈精密
300133.SZ,华策影视
300134.SZ,大富科技
300159.SZ,新研股份
300166.SZ,东方国信
300168.SZ,万达信息
300180.SZ,华峰超纤
300182.SZ,捷成股份
300197.SZ,铁汉生态
300199.SZ,翰宇药业
300207.SZ,欣旺达
300244.SZ,迪安诊断
300251.SZ,光线传媒
300253.SZ,卫宁健康
300257.SZ,开山股份
300274.SZ,阳光电源
300285.SZ,国瓷材料
300296.SZ,利亚德
300297.SZ,蓝盾股份
300308.SZ,中际旭创
300315.SZ,掌趣科技
300316.SZ,晶盛机电
300324.SZ,旋极信息
300376.SZ,易事特
300383.SZ,光环新网
300418.SZ,昆仑万维
300459.SZ,金科文化
300529.SZ,健帆生物
600006.SH,东风汽车
600008.SH,首创股份
600017.SH,日照港
600021.SH,上海电力
600022.SH,山东钢铁
600026.SH,中远海能
600037.SH,歌华有线
600039.SH,四川路桥
600053.SH,九鼎投资
600056.SH,中国医药
600058.SH,五矿发展
600060.SH,海信视像
600062.SH,华润双鹤
600064.SH,南京高科
600073.SH,上海梅林
600079.SH,人福医药
600094.SH,大名城
600098.SH,广州发展
600120.SH,浙江东方
600125.SH,铁龙物流
600126.SH,杭钢股份
600132.SH,重庆啤酒
600138.SH,中青旅
600141.SH,兴发集团
600143.SH,金发科技
600150.SH,中国船舶
600155.SH,华创阳安
600158.SH,中体产业
600160.SH,巨化股份
600161.SH,天坛生物
600166.SH,福田汽车
600167.SH,联美控股
600171.SH,上海贝岭
600195.SH,中牧股份
600201.SH,生物股份
600216.SH,浙江医药
600256.SH,广汇能源
600258.SH,首旅酒店
600259.SH,广晟有色
600260.SH,凯乐科技
600266.SH,城建发展
600273.SH,嘉化能源
600277.SH,亿利洁能
600282.SH,南钢股份
600291.SH,西水股份
600298.SH,安琪酵母
600307.SH,酒钢宏兴
600312.SH,平高电气
600315.SH,上海家化
600316.SH,洪都航空
600317.SH,营口港
600325.SH,华发股份
600329.SH,中新药业
600335.SH,国机汽车
600338.SH,西藏珠峰
600339.SH,中油工程
600348.SH,阳泉煤业
600350.SH,山东高速
600373.SH,中文传媒
600376.SH,首开股份
600380.SH,健康元
600388.SH,龙净环保
600392.SH,盛和资源
600409.SH,三友化工
600410.SH,华胜天成
600415.SH,小商品城
600418.SH,江淮汽车
600426.SH,华鲁恒升
600428.SH,中远海特
600435.SH,北方导航
600446.SH,金证股份
600460.SH,士兰微
600466.SH,蓝光发展
600478.SH,科力远
600486.SH,扬农化工
600497.SH,驰宏锌锗
600499.SH,科达洁能
600500.SH,中化国际
600507.SH,方大特钢
600511.SH,国药股份
600515.SH,海航基础
600521.SH,华海药业
600528.SH,中铁工业
600536.SH,中国软件
600545.SH,卓郎智能
600549.SH,厦门钨业
600557.SH,康缘药业
600563.SH,法拉电子
600565.SH,迪马股份
600567.SH,山鹰纸业
600572.SH,康恩贝
600575.SH,淮河能源
600580.SH,卧龙电驱
600582.SH,天地科技
600584.SH,长电科技
600597.SH,光明乳业
600598.SH,北大荒
600623.SH,华谊集团
600633.SH,浙数文化
600639.SH,浦东金桥
600640.SH,号百控股
600642.SH,申能股份
600643.SH,爱建集团
600645.SH,中源协和
600648.SH,外高桥
600649.SH,城投控股
600657.SH,信达地产
600664.SH,哈药股份
600673.SH,东阳光
600694.SH,大商股份
600699.SH,均胜电子
600704.SH,物产中大
600707.SH,彩虹股份
600717.SH,天津港
600718.SH,东软集团
600728.SH,佳都科技
600729.SH,重庆百货
600737.SH,中粮糖业
600739.SH,辽宁成大
600745.SH,闻泰科技
600748.SH,上实发展
600751.SH,海航科技
600754.SH,锦江酒店
600755.SH,厦门国贸
600757.SH,长江传媒
600759.SH,洲际油气
600763.SH,通策医疗
600765.SH,中航重机
600770.SH,综艺股份
600776.SH,东方通信
600777.SH,新潮能源
600779.SH,水井坊
600782.SH,新钢股份
600787.SH,中储股份
600801.SH,华新水泥
600804.SH,鹏博士
600808.SH,马钢股份
600811.SH,东方集团
600820.SH,隧道股份
600823.SH,世茂股份
600827.SH,百联股份
600835.SH,上海机电
600839.SH,四川长虹
600845.SH,宝信软件
600859.SH,王府井
600862.SH,中航高科
600863.SH,内蒙华电
600869.SH,智慧能源
600874.SH,创业环保
600875.SH,东方电气
600879.SH,航天电子
600881.SH,亚泰集团
600884.SH,杉杉股份
600885.SH,宏发股份
600895.SH,张江高科
600901.SH,江苏租赁
600903.SH,贵州燃气
600908.SH,无锡银行
600909.SH,华安证券
600917.SH,重庆燃气
600939.SH,重庆建工
600959.SH,江苏有线
600967.SH,内蒙一机
600970.SH,中材国际
600985.SH,淮北矿业
600996.SH,贵广网络
601000.SH,唐山港
601001.SH,大同煤业
601003.SH,柳钢股份
601005.SH,重庆钢铁
601016.SH,节能风电
601019.SH,山东出版
601068.SH,中铝国际
601098.SH,中南传媒
601099.SH,太平洋
601100.SH,恒立液压
601106.SH,中国一重
601118.SH,海南橡胶
601127.SH,小康股份
601128.SH,常熟银行
601139.SH,深圳燃气
601168.SH,西部矿业
601179.SH,中国西电
601200.SH,上海环境
601228.SH,广州港
601231.SH,环旭电子
601233.SH,桐昆股份
601326.SH,秦港股份
601333.SH,广深铁路
601598.SH,中国外运
601608.SH,中信重工
601611.SH,中国核建
601615.SH,明阳智能
601678.SH,滨化股份
601689.SH,拓普集团
601699.SH,潞安环能
601717.SH,郑煤机
601718.SH,际华集团
601799.SH,星宇股份
601801.SH,皖新传媒
601811.SH,新华文轩
601860.SH,紫金银行
601865.SH,福莱特
601866.SH,中远海发
601869.SH,长飞光纤
601872.SH,招商轮船
601880.SH,大连港
601928.SH,凤凰传媒
601958.SH,金钼股份
601966.SH,玲珑轮胎
601969.SH,海南矿业
601975.SH,招商南油
603000.SH,人民网
603025.SH,大豪科技
603056.SH,德邦股份
603077.SH,和邦生物
603198.SH,迎驾贡酒
603225.SH,新凤鸣
603228.SH,景旺电子
603233.SH,大参林
603256.SH,宏和科技
603317.SH,天味食品
603328.SH,依顿电子
603338.SH,浙江鼎力
603355.SH,莱克电气
603377.SH,东方时尚
603379.SH,三美股份
603444.SH,吉比特
603486.SH,科沃斯
603515.SH,欧普照明
603517.SH,绝味食品
603556.SH,海兴电力
603568.SH,伟明环保
603650.SH,彤程新材
603659.SH,璞泰来
603707.SH,健友股份
603712.SH,七一二
603766.SH,隆鑫通用
603806.SH,福斯特
603816.SH,顾家家居
603858.SH,步长制药
603866.SH,桃李面包
603868.SH,飞科电器
603877.SH,太平鸟
603882.SH,金域医学
603883.SH,老百姓
603885.SH,吉祥航空
603888.SH,新华网
603939.SH,益丰药房
603983.SH,丸美股份
