代码,名称
000001.SZ,平安银行
000002.SZ,万科A
000063.SZ,中兴通讯
000069.SZ,华侨城A
000100.SZ,TCL科技
000157.SZ,中联重科
000166.SZ,申万宏源
000333.SZ,美的集团
000338.SZ,潍柴动力
000413.SZ,东旭光电
000415.SZ,渤海租赁
000423.SZ,东阿阿胶
000425.SZ,徐工机械
000538.SZ,云南白药
000568.SZ,泸州老窖
000596.SZ,古井贡酒
000625.SZ,长安汽车
000627.SZ,天茂集团
000629.SZ,攀钢钒钛
000630.SZ,铜陵有色
000651.SZ,格力电器
000656.SZ,金科股份
000661.SZ,长春高新
000671.SZ,阳光城
000703.SZ,恒逸石化
000709.SZ,河钢股份
000723.SZ,美锦能源
000725.SZ,京东方A
000728.SZ,国元证券
000768.SZ,中航飞机
000776.SZ,广发证券
000783.SZ,长江证券
000786.SZ,北新建材
000858.SZ,五粮液
000876.SZ,新希望
000895.SZ,双汇发展
000898.SZ,鞍钢股份
000938.SZ,紫光股份
000961.SZ,中南建设
000963.SZ,华东医药
001979.SZ,招商蛇口
002001.SZ,新和成
002007.SZ,华兰生物
002008.SZ,大族激光
002010.SZ,传化智联
002024.SZ,苏宁易购
002027.SZ,分众传媒
002032.SZ,苏泊尔
002044.SZ,美年健康
002050.SZ,三花智控
002081.SZ,金螳螂
002120.SZ,韵达股份
002142.SZ,宁波银行
002146.SZ,荣盛发展
002153.SZ,石基信息
002179.SZ,中航光电
002202.SZ,金风科技
002230.SZ,科大讯飞
002236.SZ,大华股份
002241.SZ,歌尔股份
002252.SZ,上海莱士
002271.SZ,东方雨虹
002294.SZ,信立泰
002304.SZ,洋河股份
002311.SZ,海大集团
002352.SZ,顺丰控股
002410.SZ,广联达
002411.SZ,延安必康
002415.SZ,海康威视
002422.SZ,科伦药业
002456.SZ,欧菲光
002460.SZ,赣锋锂业
002466.SZ,天齐锂业
002468.SZ,申通快递
002475.SZ,立讯精密
002493.SZ,荣盛石化
002508.SZ,老板电器
002555.SZ,三七互娱
002558.SZ,巨人网络
002594.SZ,比亚迪
002601.SZ,龙蟒佰利
002602.SZ,世纪华通
002607.SZ,中公教育
002624.SZ,完美世界
002673.SZ,西部证券
002714.SZ,牧原股份
002736.SZ,国信证券
002739.SZ,万达电影
002773.SZ,康弘药业
002841.SZ,视源股份
002916.SZ,深南电路
002938.SZ,鹏鼎控股
002939.SZ,长城证券
002945.SZ,华林证券
002958.SZ,青农商行
300003.SZ,乐普医疗
300015.SZ,爱尔眼科
300017.SZ,网宿科技
300024.SZ,机器人
300033.SZ,同花顺
300059.SZ,东方财富
300070.SZ,碧水源
300122.SZ,智飞生物
300124.SZ,汇川技术
300136.SZ,信维通信
300142.SZ,沃森生物
300144.SZ,宋城演艺
300347.SZ,泰格医药
300408.SZ,三环集团
300413.SZ,芒果超媒
300433.SZ,蓝思科技
300498.SZ,温氏股份
600000.SH,浦发银行
600004.SH,白云机场
600009.SH,上海机场
600010.SH,包钢股份
600011.SH,华能国际
600015.SH,华夏银行
600016.SH,民生银行
600018.SH,上港集团
600019.SH,宝钢股份
600023.SH,浙能电力
600025.SH,华能水电
600027.SH,华电国际
600028.SH,中国石化
600029.SH,南方航空
600030.SH,中信证券
600031.SH,三一重工
600036.SH,招商银行
600038.SH,中直股份
600048.SH,保利地产
600050.SH,中国联通
600061.SH,国投资本
600066.SH,宇通客车
600068.SH,葛洲坝
600085.SH,同仁堂
600089.SH,特变电工
600100.SH,同方股份
600104.SH,上汽集团
600109.SH,国金证券
600111.SH,北方稀土
600115.SH,东方航空
600118.SH,中国卫星
600153.SH,建发股份
600170.SH,上海建工
600176.SH,中国巨石
600177.SH,雅戈尔
600183.SH,生益科技
600188.SH,兖州煤业
600196.SH,复星医药
600208.SH,新湖中宝
600219.SH,南山铝业
600221.SH,海航控股
600233.SH,圆通速递
600271.SH,航天信息
600276.SH,恒瑞医药
600297.SH,广汇汽车
600299.SH,安迪苏
600309.SH,万华化学
600332.SH,白云山
600340.SH,华夏幸福
600346.SH,恒力石化
600352.SH,浙江龙盛
600362.SH,江西铜业
600369.SH,西南证券
600372.SH,中航电子
600383.SH,金地集团
600390.SH,五矿资本
600398.SH,海澜之家
600406.SH,国电南瑞
600436.SH,片仔癀
600438.SH,通威股份
600482.SH,中国动力
600487.SH,亨通光电
600489.SH,中金黄金
600498.SH,烽火通信
600516.SH,方大炭素
600519.SH,贵州茅台
600522.SH,中天科技
600535.SH,天士力
600547.SH,山东黄金
600566.SH,济川药业
600570.SH,恒生电子
600583.SH,海油工程
600585.SH,海螺水泥
600588.SH,用友网络
600606.SH,绿地控股
600637.SH,东方明珠
600655.SH,豫园股份
600660.SH,福耀玻璃
600663.SH,陆家嘴
600674.SH,川投能源
600690.SH,海尔智家
600703.SH,三安光电
600705.SH,中航资本
600733.SH,北汽蓝谷
600741.SH,华域汽车
600760.SH,中航沈飞
600795.SH,国电电力
600809.SH,山西汾酒
600816.SH,*ST安信
600837.SH,海通证券
600848.SH,上海临港
600867.SH,通化东宝
600886.SH,国投电力
600887.SH,伊利股份
600893.SH,航发动力
600900.SH,长江电力
600919.SH,江苏银行
600926.SH,杭州银行
600928.SH,西安银行
600958.SH,东方证券
600968.SH,海油发展
600977.SH,中国电影
600989.SH,宝丰能源
600998.SH,九州通
600999.SH,招商证券
601006.SH,大秦铁路
601009.SH,南京银行
601012.SH,隆基股份
601018.SH,宁波港
601021.SH,春秋航空
601066.SH,中信建投
601088.SH,中国神华
601108.SH,财通证券
601111.SH,中国国航
601117.SH,中国化学
601138.SH,工业富联
601155.SH,新城控股
601162.SH,天风证券
601166.SH,兴业银行
601169.SH,北京银行
601186.SH,中国铁建
601198.SH,东兴证券
601211.SH,国泰君安
601212.SH,白银有色
601216.SH,君正集团
601225.SH,陕西煤业
601229.SH,上海银行
601236.SH,红塔证券
601238.SH,广汽集团
601288.SH,农业银行
601298.SH,青岛港
601318.SH,中国平安
601319.SH,中国人保
601328.SH,交通银行
601336.SH,新华保险
601360.SH,三六零
601377.SH,兴业证券
601390.SH,中国中铁
601398.SH,工商银行
601555.SH,东吴证券
601577.SH,长沙银行
601600.SH,中国铝业
601601.SH,中国太保
601607.SH,上海医药
601618.SH,中国中冶
601628.SH,中国人寿
601633.SH,长城汽车
601668.SH,中国建筑
601669.SH,中国电建
601688.SH,华泰证券
601698.SH,中国卫通
601727.SH,上海电气
601766.SH,中国中车
601788.SH,光大证券
601800.SH,中国交建
601808.SH,中海油服
601818.SH,光大银行
601828.SH,美凯龙
601838.SH,成都银行
601857.SH,中国石油
601877.SH,正泰电器
601878.SH,浙商证券
601881.SH,中国银河
601888.SH,中国国旅
601898.SH,中煤能源
601899.SH,紫金矿业
601901.SH,方正证券
601919.SH,中远海控
601933.SH,永辉超市
601939.SH,建设银行
601985.SH,中国核电
601988.SH,中国银行
601989.SH,中国重工
601992.SH,金隅集团
601997.SH,贵阳银行
601998.SH,中信银行
603019.SH,中科曙光
603156.SH,养元饮品
603160.SH,汇顶科技
603259.SH,药明康德
603260.SH,合盛硅业
603288.SH,海天味业
603501.SH,韦尔股份
603799.SH,华友钴业
603833.SH,欧派家居
603899.SH,晨光文具
603986.SH,兆易创新
603993.SH,洛阳钼业
