代码,名称
AP007.CZC,苹果2007
AP010.CZC,苹果2010
AP011.CZC,苹果2011
AP012.CZC,苹果2012
AP101.CZC,苹果2101
AP103.CZC,苹果2103
AP105.CZC,苹果2105
CF007.CZC,郑棉2007
CF009.CZC,郑棉2009
CF011.CZC,郑棉2011
CF101.CZC,郑棉2101
CF103.CZC,郑棉2103
CF105.CZC,郑棉2105
CJ007.CZC,红枣2007
CJ009.CZC,红枣2009
CJ012.CZC,红枣2012
CJ101.CZC,红枣2101
CJ103.CZC,红枣2103
CJ105.CZC,红枣2105
CY006.CZC,棉纱2006
CY007.CZC,棉纱2007
CY008.CZC,棉纱2008
CY009.CZC,棉纱2009
CY010.CZC,棉纱2010
CY011.CZC,棉纱2011
CY012.CZC,棉纱2012
CY101.CZC,棉纱2101
CY102.CZC,棉纱2102
CY103.CZC,棉纱2103
CY104.CZC,棉纱2104
CY105.CZC,棉纱2105
FG006.CZC,玻璃2006
FG007.CZC,玻璃2007
FG008.CZC,玻璃2008
FG009.CZC,玻璃2009
FG010.CZC,玻璃2010
FG011.CZC,玻璃2011
FG012.CZC,玻璃2012
FG101.CZC,玻璃2101
FG102.CZC,玻璃2102
FG103.CZC,玻璃2103
FG104.CZC,玻璃2104
FG105.CZC,玻璃2105
JR007.CZC,粳稻2007
JR009.CZC,粳稻2009
JR011.CZC,粳稻2011
JR101.CZC,粳稻2101
JR103.CZC,粳稻2103
JR105.CZC,粳稻2105
LR007.CZC,晚籼稻2007
MA006.CZC,甲醇2006
MA007.CZC,甲醇2007
MA008.CZC,甲醇2008
MA009.CZC,甲醇2009
MA010.CZC,甲醇2010
MA011.CZC,甲醇2011
MA012.CZC,甲醇2012
MA101.CZC,甲醇2101
MA102.CZC,甲醇2102
MA103.CZC,甲醇2103
MA104.CZC,甲醇2104
MA105.CZC,甲醇2105
OI007.CZC,菜油2007
OI009.CZC,菜油2009
OI011.CZC,菜油2011
OI101.CZC,菜油2101
OI103.CZC,菜油2103
OI105.CZC,菜油2105
PM007.CZC,普麦2007
PM009.CZC,普麦2009
PM011.CZC,普麦2011
PM101.CZC,普麦2101
PM103.CZC,普麦2103
PM105.CZC,普麦2105
RI007.CZC,早籼稻2007
RI009.CZC,早籼稻2009
RI011.CZC,早籼稻2011
RI101.CZC,早籼稻2101
RI103.CZC,早籼稻2103
RI105.CZC,早籼稻2105
RM007.CZC,菜粕2007
RM008.CZC,菜粕2008
RM009.CZC,菜粕2009
RM011.CZC,菜粕2011
RM101.CZC,菜粕2101
RM103.CZC,菜粕2103
RM105.CZC,菜粕2105
RS007.CZC,菜籽2007
RS008.CZC,菜籽2008
RS009.CZC,菜籽2009
RS011.CZC,菜籽2011
SA006.CZC,纯碱2006
SA007.CZC,纯碱2007
SA008.CZC,纯碱2008
SA009.CZC,纯碱2009
SA010.CZC,纯碱2010
SA011.CZC,纯碱2011
SA012.CZC,纯碱2012
SA101.CZC,纯碱2101
SA102.CZC,纯碱2102
SA103.CZC,纯碱2103
SA104.CZC,纯碱2104
SA105.CZC,纯碱2105
SF006.CZC,硅铁2006
SF007.CZC,硅铁2007
SF008.CZC,硅铁2008
SF009.CZC,硅铁2009
SF010.CZC,硅铁2010
SF011.CZC,硅铁2011
SF012.CZC,硅铁2012
SF101.CZC,硅铁2101
SF102.CZC,硅铁2102
SF103.CZC,硅铁2103
SF104.CZC,硅铁2104
SF105.CZC,硅铁2105
SM006.CZC,锰硅2006
SM007.CZC,锰硅2007
SM008.CZC,锰硅2008
SM009.CZC,锰硅2009
SM010.CZC,锰硅2010
SM011.CZC,锰硅2011
SM012.CZC,锰硅2012
SM101.CZC,锰硅2101
SM102.CZC,锰硅2102
SM103.CZC,锰硅2103
SM104.CZC,锰硅2104
SM105.CZC,锰硅2105
SR007.CZC,白糖2007
SR009.CZC,白糖2009
SR011.CZC,白糖2011
SR101.CZC,白糖2101
SR103.CZC,白糖2103
SR105.CZC,白糖2105
TA006.CZC,PTA2006
TA007.CZC,PTA2007
TA008.CZC,PTA2008
TA009.CZC,PTA2009
TA010.CZC,PTA2010
TA011.CZC,PTA2011
TA012.CZC,PTA2012
TA101.CZC,PTA2101
TA102.CZC,PTA2102
TA103.CZC,PTA2103
TA104.CZC,PTA2104
TA105.CZC,PTA2105
UR006.CZC,尿素2006
UR007.CZC,尿素2007
UR008.CZC,尿素2008
UR009.CZC,尿素2009
UR010.CZC,尿素2010
UR011.CZC,尿素2011
UR012.CZC,尿素2012
UR101.CZC,尿素2101
UR102.CZC,尿素2102
UR103.CZC,尿素2103
UR104.CZC,尿素2104
UR105.CZC,尿素2105
WH007.CZC,强麦2007
WH009.CZC,强麦2009
WH011.CZC,强麦2011
WH101.CZC,强麦2101
WH103.CZC,强麦2103
WH105.CZC,强麦2105
ZC006.CZC,动力煤2006
ZC007.CZC,动力煤2007
ZC008.CZC,动力煤2008
ZC009.CZC,动力煤2009
ZC010.CZC,动力煤2010
ZC011.CZC,动力煤2011
ZC012.CZC,动力煤2012
ZC101.CZC,动力煤2101
ZC102.CZC,动力煤2102
ZC103.CZC,动力煤2103
ZC104.CZC,动力煤2104
ZC105.CZC,动力煤2105
