合约,交易日,开始时间,结束时间,最高价,开盘价,最低价,收盘价,成交量,成交额,持仓量,昨收价
IC9997,2020/04/01,2020/04/01 09:30:00,2020/04/01 09:31:00,4918.0,4918.0,4910.2,4910.2,7.0,6881640.0,4344.0,4912.2
IC9997,2020/04/01,2020/04/01 09:31:00,2020/04/01 09:32:00,4918.2,4910.2,4910.2,4918.2,8.0,7866960.0,4337.0,4910.2
IC9997,2020/04/01,2020/04/01 09:32:00,2020/04/01 09:33:00,4921.6,4918.2,4915.6,4915.6,15.0,14759520.0,4328.0,4918.2
IC9997,2020/04/01,2020/04/01 09:33:00,2020/04/01 09:34:00,4915.6,4915.6,4911.4,4912.6,9.0,8843200.0,4325.0,4915.6
IC9997,2020/04/01,2020/04/01 09:34:00,2020/04/01 09:35:00,4925.4,4912.6,4912.6,4922.2,14.0,13781960.0,4317.0,4912.6
IC9997,2020/04/01,2020/04/01 09:35:00,2020/04/01 09:36:00,4922.8,4922.2,4920.0,4922.8,10.0,9841880.0,4315.0,4922.2
IC9997,2020/04/01,2020/04/01 09:36:00,2020/04/01 09:37:00,4935.2,4922.8,4922.8,4935.2,10.0,9866880.0,4311.0,4922.8
IC9997,2020/04/01,2020/04/01 09:37:00,2020/04/01 09:38:00,4936.6,4935.2,4930.8,4935.4,10.0,9864240.0,4303.0,4935.2
IC9997,2020/04/01,2020/04/01 09:38:00,2020/04/01 09:39:00,4935.4,4935.4,4932.6,4935.4,12.0,11839680.0,4293.0,4935.4
IC9997,2020/04/01,2020/04/01 09:39:00,2020/04/01 09:40:00,4942.6,4935.4,4935.4,4942.6,8.0,7906040.0,4287.0,4935.4
IC9997,2020/04/01,2020/04/01 09:40:00,2020/04/01 09:41:00,4942.6,4942.6,4933.8,4939.8,18.0,17772240.0,4281.0,4942.6
IC9997,2020/04/01,2020/04/01 09:41:00,2020/04/01 09:42:00,4949.0,4940.8,4938.4,4947.0,18.0,17792840.0,4267.0,4939.8
