合约,交易日,开始时间,结束时间,最高价,开盘价,最低价,收盘价,成交量,成交额,持仓量,昨收价
IH9996,2020/04/01,2020/04/01 09:30:00,2020/04/01 09:31:00,2635.2,2631.0,2631.0,2633.8,122.0,96361320.0,17806.0,2626.6
IH9996,2020/04/01,2020/04/01 09:31:00,2020/04/01 09:32:00,2638.4,2633.2,2633.2,2635.8,67.0,52981440.0,17765.0,2633.8
IH9996,2020/04/01,2020/04/01 09:32:00,2020/04/01 09:33:00,2636.8,2635.8,2632.0,2634.8,57.0,45057840.0,17737.0,2635.8
IH9996,2020/04/01,2020/04/01 09:33:00,2020/04/01 09:34:00,2637.6,2634.8,2633.6,2637.6,64.0,50613000.0,17713.0,2634.8
IH9996,2020/04/01,2020/04/01 09:34:00,2020/04/01 09:35:00,2639.0,2637.2,2636.0,2637.6,97.0,76751460.0,17670.0,2637.6
IH9996,2020/04/01,2020/04/01 09:35:00,2020/04/01 09:36:00,2640.8,2637.6,2637.6,2640.6,67.0,53054640.0,17642.0,2637.6
IH9996,2020/04/01,2020/04/01 09:36:00,2020/04/01 09:37:00,2644.4,2640.6,2639.6,2643.0,72.0,57072660.0,17609.0,2640.6
IH9996,2020/04/01,2020/04/01 09:37:00,2020/04/01 09:38:00,2645.0,2643.0,2642.0,2644.2,78.0,61860780.0,17591.0,2643.0
IH9996,2020/04/01,2020/04/01 09:38:00,2020/04/01 09:39:00,2644.8,2644.2,2642.4,2644.2,90.0,71382960.0,17580.0,2644.2
IH9996,2020/04/01,2020/04/01 09:39:00,2020/04/01 09:40:00,2644.4,2644.4,2642.0,2643.0,37.0,29341440.0,17566.0,2644.2
IH9996,2020/04/01,2020/04/01 09:40:00,2020/04/01 09:41:00,2644.8,2643.0,2640.6,2641.0,79.0,62612640.0,17525.0,2643.0
IH9996,2020/04/01,2020/04/01 09:41:00,2020/04/01 09:42:00,2642.0,2641.0,2640.0,2640.4,43.0,34066740.0,17503.0,2641.0
IH9996,2020/04/01,2020/04/01 09:42:00,2020/04/01 09:43:00,2641.6,2640.4,2638.8,2639.6,40.0,31678740.0,17480.0,2640.4
IH9996,2020/04/01,2020/04/01 09:43:00,2020/04/01 09:44:00,2643.0,2639.6,2639.6,2642.2,29.0,22985580.0,17468.0,2639.6
IH9996,2020/04/01,2020/04/01 09:44:00,2020/04/01 09:45:00,2642.6,2642.0,2638.4,2638.4,38.0,30098340.0,17445.0,2642.2
IH9996,2020/04/01,2020/04/01 09:45:00,2020/04/01 09:46:00,2640.0,2638.4,2637.4,2639.4,69.0,54622140.0,17398.0,2638.4
IH9996,2020/04/01,2020/04/01 09:46:00,2020/04/01 09:47:00,2644.0,2639.8,2639.4,2643.2,54.0,42816780.0,17358.0,2639.4
IH9996,2020/04/01,2020/04/01 09:47:00,2020/04/01 09:48:00,2644.6,2643.0,2641.0,2642.0,39.0,30924420.0,17329.0,2643.2
IH9996,2020/04/01,2020/04/01 09:48:00,2020/04/01 09:49:00,2644.4,2642.0,2642.0,2643.6,28.0,22205700.0,17312.0,2642.0
IH9996,2020/04/01,2020/04/01 09:49:00,2020/04/01 09:50:00,2645.0,2643.6,2643.6,2644.6,37.0,29352360.0,17295.0,2643.6
IH9996,2020/04/01,2020/04/01 09:50:00,2020/04/01 09:51:00,2645.0,2644.6,2641.2,2641.2,40.0,31716180.0,17280.0,2644.6
IH9996,2020/04/01,2020/04/01 09:51:00,2020/04/01 09:52:00,2644.2,2642.2,2641.4,2644.2,50.0,39645660.0,17253.0,2641.2
IH9996,2020/04/01,2020/04/01 09:52:00,2020/04/01 09:53:00,2649.0,2644.2,2644.2,2647.2,77.0,61153560.0,17220.0,2644.2
IH9996,2020/04/01,2020/04/01 09:53:00,2020/04/01 09:54:00,2648.2,2647.2,2646.2,2647.2,21.0,16678800.0,17200.0,2647.2
IH9996,2020/04/01,2020/04/01 09:54:00,2020/04/01 09:55:00,2648.0,2647.2,2646.2,2647.2,27.0,21443100.0,17188.0,2647.2
IH9996,2020/04/01,2020/04/01 09:55:00,2020/04/01 09:56:00,2647.6,2647.2,2644.8,2646.0,28.0,22226280.0,17186.0,2647.2
IH9996,2020/04/01,2020/04/01 09:56:00,2020/04/01 09:57:00,2649.0,2646.0,2646.0,2648.8,28.0,22242360.0,17186.0,2646.0
IH9996,2020/04/01,2020/04/01 09:57:00,2020/04/01 09:58:00,2649.2,2648.8,2647.8,2648.0,18.0,14301780.0,17185.0,2648.8
IH9996,2020/04/01,2020/04/01 09:58:00,2020/04/01 09:59:00,2649.2,2648.0,2646.0,2646.2,25.0,19856940.0,17176.0,2648.0
IH9996,2020/04/01,2020/04/01 09:59:00,2020/04/01 10:00:00,2649.6,2646.2,2646.2,2649.6,61.0,48460140.0,17180.0,2646.2
IH9996,2020/04/01,2020/04/01 10:00:00,2020/04/01 10:01:00,2652.6,2649.6,2649.6,2651.4,46.0,36587220.0,17173.0,2649.6
IH9996,2020/04/01,2020/04/01 10:01:00,2020/04/01 10:02:00,2651.6,2651.4,2648.4,2649.8,34.0,27027480.0,17176.0,2651.4
IH9996,2020/04/01,2020/04/01 10:02:00,2020/04/01 10:03:00,2650.2,2650.2,2647.8,2649.2,21.0,16688220.0,17178.0,2649.8
IH9996,2020/04/01,2020/04/01 10:03:00,2020/04/01 10:04:00,2649.2,2649.2,2646.0,2646.2,12.0,9530220.0,17176.0,2649.2
IH9996,2020/04/01,2020/04/01 10:04:00,2020/04/01 10:05:00,2648.6,2646.0,2645.8,2648.0,17.0,13500540.0,17170.0,2646.2
IH9996,2020/04/01,2020/04/01 10:05:00,2020/04/01 10:06:00,2652.8,2648.2,2648.2,2650.6,38.0,30220920.0,17174.0,2648.0
IH9996,2020/04/01,2020/04/01 10:06:00,2020/04/01 10:07:00,2651.0,2650.6,2647.0,2648.0,31.0,24627540.0,17168.0,2650.6
IH9996,2020/04/01,2020/04/01 10:07:00,2020/04/01 10:08:00,2648.0,2648.0,2646.6,2646.6,16.0,12706800.0,17165.0,2648.0
IH9996,2020/04/01,2020/04/01 10:08:00,2020/04/01 10:09:00,2649.0,2647.4,2647.0,2648.2,12.0,9533040.0,17161.0,2646.6
IH9996,2020/04/01,2020/04/01 10:09:00,2020/04/01 10:10:00,2649.0,2648.2,2647.8,2649.0,17.0,13507560.0,17155.0,2648.2
IH9996,2020/04/01,2020/04/01 10:10:00,2020/04/01 10:11:00,2649.6,2649.0,2646.4,2647.2,22.0,17473980.0,17152.0,2649.0
IH9996,2020/04/01,2020/04/01 10:11:00,2020/04/01 10:12:00,2649.6,2647.2,2647.0,2648.6,36.0,28607460.0,17145.0,2647.2
IH9996,2020/04/01,2020/04/01 10:12:00,2020/04/01 10:13:00,2650.0,2648.6,2648.6,2648.8,5.0,3973860.0,17146.0,2648.6
IH9996,2020/04/01,2020/04/01 10:13:00,2020/04/01 10:14:00,2649.4,2648.8,2645.4,2645.6,35.0,27793020.0,17147.0,2648.8
IH9996,2020/04/01,2020/04/01 10:14:00,2020/04/01 10:15:00,2647.0,2645.6,2645.0,2645.4,18.0,14288160.0,17150.0,2645.6
IH9996,2020/04/01,2020/04/01 10:15:00,2020/04/01 10:16:00,2648.6,2645.4,2645.4,2647.8,30.0,23828160.0,17155.0,2645.4
IH9996,2020/04/01,2020/04/01 10:16:00,2020/04/01 10:17:00,2647.8,2647.8,2646.0,2646.2,9.0,7145640.0,17154.0,2647.8
IH9996,2020/04/01,2020/04/01 10:17:00,2020/04/01 10:18:00,2646.6,2646.2,2645.2,2645.4,15.0,11906760.0,17157.0,2646.2
IH9996,2020/04/01,2020/04/01 10:18:00,2020/04/01 10:19:00,2645.6,2645.4,2644.2,2644.4,15.0,11901480.0,17152.0,2645.4
IH9996,2020/04/01,2020/04/01 10:19:00,2020/04/01 10:20:00,2645.4,2644.4,2643.6,2644.0,19.0,15072660.0,17148.0,2644.4
IH9996,2020/04/01,2020/04/01 10:20:00,2020/04/01 10:21:00,2645.2,2644.0,2643.6,2645.0,23.0,18248700.0,17140.0,2644.0
IH9996,2020/04/01,2020/04/01 10:21:00,2020/04/01 10:22:00,2646.0,2645.0,2644.4,2645.2,20.0,15872820.0,17130.0,2645.0
IH9996,2020/04/01,2020/04/01 10:22:00,2020/04/01 10:23:00,2645.8,2645.2,2644.4,2645.8,13.0,10315980.0,17129.0,2645.2
IH9996,2020/04/01,2020/04/01 10:23:00,2020/04/01 10:24:00,2645.8,2645.8,2644.6,2644.6,8.0,6347760.0,17124.0,2645.8
IH9996,2020/04/01,2020/04/01 10:24:00,2020/04/01 10:25:00,2644.8,2644.6,2643.0,2644.8,21.0,16656120.0,17120.0,2644.6
IH9996,2020/04/01,2020/04/01 10:25:00,2020/04/01 10:26:00,2646.4,2644.8,2644.2,2645.6,20.0,15873360.0,17121.0,2644.8
IH9996,2020/04/01,2020/04/01 10:26:00,2020/04/01 10:27:00,2647.2,2646.0,2645.6,2646.6,9.0,7145580.0,17121.0,2645.6
IH9996,2020/04/01,2020/04/01 10:27:00,2020/04/01 10:28:00,2647.0,2646.6,2645.0,2645.2,31.0,24609720.0,17111.0,2646.6
IH9996,2020/04/01,2020/04/01 10:28:00,2020/04/01 10:29:00,2646.8,2645.6,2645.2,2645.6,17.0,13494540.0,17110.0,2645.2
IH9996,2020/04/01,2020/04/01 10:29:00,2020/04/01 10:30:00,2647.0,2645.6,2645.6,2647.0,2.0,1588080.0,17110.0,2645.6
IH9996,2020/04/01,2020/04/01 10:30:00,2020/04/01 10:31:00,2649.0,2647.0,2646.0,2648.4,20.0,15886800.0,17108.0,2647.0
