合约,交易日,开始时间,结束时间,最高价,开盘价,最低价,收盘价,成交量,成交额,持仓量,昨收价
TF9991,2020/04/01,2020/04/01 09:15:00,2020/04/01 09:16:00,102.355,102.335,102.255,102.285,32.0,32732700.0,1324.0,102.18
TF9991,2020/04/01,2020/04/01 09:16:00,2020/04/01 09:17:00,102.315,102.285,102.285,102.295,3.0,3068950.0,1324.0,102.285
TF9991,2020/04/01,2020/04/01 09:17:00,2020/04/01 09:18:00,102.295,102.295,102.285,102.285,1.0,1022850.0,1324.0,102.295
TF9991,2020/04/01,2020/04/01 09:18:00,2020/04/01 09:19:00,102.285,102.285,102.275,102.285,2.0,2045600.0,1323.0,102.285
TF9991,2020/04/01,2020/04/01 09:19:00,2020/04/01 09:20:00,102.285,102.285,102.255,102.265,7.0,7158400.0,1327.0,102.285
TF9991,2020/04/01,2020/04/01 09:20:00,2020/04/01 09:21:00,102.27,102.265,102.26,102.265,5.0,5113200.0,1331.0,102.265
TF9991,2020/04/01,2020/04/01 09:21:00,2020/04/01 09:22:00,102.265,102.265,102.26,102.26,1.0,1022600.0,1331.0,102.265
TF9991,2020/04/01,2020/04/01 09:22:00,2020/04/01 09:23:00,102.3,102.26,102.26,102.295,16.0,16366750.0,1336.0,102.26
TF9991,2020/04/01,2020/04/01 09:23:00,2020/04/01 09:24:00,102.295,102.295,102.295,102.295,1.0,1022950.0,1337.0,102.295
TF9991,2020/04/01,2020/04/01 09:24:00,2020/04/01 09:25:00,102.295,102.295,102.29,102.29,2.0,2045800.0,1335.0,102.295
TF9991,2020/04/01,2020/04/01 09:25:00,2020/04/01 09:26:00,102.29,102.29,102.29,102.29,0.0,0.0,1335.0,102.29
TF9991,2020/04/01,2020/04/01 09:26:00,2020/04/01 09:27:00,102.29,102.29,102.285,102.285,5.0,5114250.0,1339.0,102.29
TF9991,2020/04/01,2020/04/01 09:27:00,2020/04/01 09:28:00,102.285,102.285,102.285,102.285,0.0,0.0,1339.0,102.285
TF9991,2020/04/01,2020/04/01 09:28:00,2020/04/01 09:29:00,102.285,102.285,102.285,102.285,3.0,3068550.0,1341.0,102.285
TF9991,2020/04/01,2020/04/01 09:29:00,2020/04/01 09:30:00,102.29,102.285,102.285,102.285,6.0,6137250.0,1346.0,102.285
