合约,交易日,开始时间,结束时间,最高价,开盘价,最低价,收盘价,成交量,成交额,持仓量,昨收价
TS2012,2020/04/01,2020/04/01 09:15:00,2020/04/01 09:16:00,101.28,101.28,101.28,101.28,0.0,0.0,173.0,101.28
TS2012,2020/04/01,2020/04/01 09:16:00,2020/04/01 09:17:00,101.28,101.28,101.28,101.28,0.0,0.0,173.0,101.28
TS2012,2020/04/01,2020/04/01 09:17:00,2020/04/01 09:18:00,101.28,101.28,101.28,101.28,0.0,0.0,173.0,101.28
TS2012,2020/04/01,2020/04/01 09:18:00,2020/04/01 09:19:00,101.28,101.28,101.28,101.28,0.0,0.0,173.0,101.28
TS2012,2020/04/01,2020/04/01 09:19:00,2020/04/01 09:20:00,101.28,101.28,101.28,101.28,0.0,0.0,173.0,101.28
TS2012,2020/04/01,2020/04/01 09:20:00,2020/04/01 09:21:00,101.28,101.28,101.28,101.28,0.0,0.0,173.0,101.28
TS2012,2020/04/01,2020/04/01 09:21:00,2020/04/01 09:22:00,101.28,101.28,101.28,101.28,0.0,0.0,173.0,101.28
TS2012,2020/04/01,2020/04/01 09:22:00,2020/04/01 09:23:00,101.28,101.28,101.28,101.28,0.0,0.0,173.0,101.28
TS2012,2020/04/01,2020/04/01 09:23:00,2020/04/01 09:24:00,101.28,101.28,101.28,101.28,0.0,0.0,173.0,101.28
TS2012,2020/04/01,2020/04/01 09:24:00,2020/04/01 09:25:00,101.28,101.28,101.28,101.28,0.0,0.0,173.0,101.28
TS2012,2020/04/01,2020/04/01 09:25:00,2020/04/01 09:26:00,101.28,101.28,101.28,101.28,0.0,0.0,173.0,101.28
TS2012,2020/04/01,2020/04/01 09:26:00,2020/04/01 09:27:00,101.28,101.28,101.28,101.28,0.0,0.0,173.0,101.28
TS2012,2020/04/01,2020/04/01 09:27:00,2020/04/01 09:28:00,101.28,101.28,101.28,101.28,0.0,0.0,173.0,101.28
TS2012,2020/04/01,2020/04/01 09:28:00,2020/04/01 09:29:00,101.28,101.28,101.28,101.28,0.0,0.0,173.0,101.28
TS2012,2020/04/01,2020/04/01 09:29:00,2020/04/01 09:30:00,101.28,101.28,101.28,101.28,0.0,0.0,173.0,101.28
TS2012,2020/04/01,2020/04/01 09:30:00,2020/04/01 09:31:00,101.28,101.28,101.28,101.28,0.0,0.0,173.0,101.28
TS2012,2020/04/01,2020/04/01 09:31:00,2020/04/01 09:32:00,101.37,101.355,101.355,101.37,2.0,4054500.0,174.0,101.28
TS2012,2020/04/01,2020/04/01 09:32:00,2020/04/01 09:33:00,101.37,101.37,101.37,101.37,4.0,8109600.0,178.0,101.37
TS2012,2020/04/01,2020/04/01 09:33:00,2020/04/01 09:34:00,101.37,101.37,101.37,101.37,0.0,0.0,178.0,101.37
TS2012,2020/04/01,2020/04/01 09:34:00,2020/04/01 09:35:00,101.37,101.37,101.37,101.37,0.0,0.0,178.0,101.37
TS2012,2020/04/01,2020/04/01 09:35:00,2020/04/01 09:36:00,101.37,101.37,101.37,101.37,0.0,0.0,178.0,101.37
TS2012,2020/04/01,2020/04/01 09:36:00,2020/04/01 09:37:00,101.37,101.37,101.37,101.37,0.0,0.0,178.0,101.37
TS2012,2020/04/01,2020/04/01 09:37:00,2020/04/01 09:38:00,101.37,101.37,101.37,101.37,0.0,0.0,178.0,101.37
TS2012,2020/04/01,2020/04/01 09:38:00,2020/04/01 09:39:00,101.37,101.37,101.37,101.37,0.0,0.0,178.0,101.37
TS2012,2020/04/01,2020/04/01 09:39:00,2020/04/01 09:40:00,101.37,101.37,101.37,101.37,0.0,0.0,178.0,101.37
TS2012,2020/04/01,2020/04/01 09:40:00,2020/04/01 09:41:00,101.37,101.37,101.37,101.37,0.0,0.0,178.0,101.37
TS2012,2020/04/01,2020/04/01 09:41:00,2020/04/01 09:42:00,101.37,101.37,101.37,101.37,0.0,0.0,178.0,101.37
TS2012,2020/04/01,2020/04/01 09:42:00,2020/04/01 09:43:00,101.37,101.37,101.37,101.37,0.0,0.0,178.0,101.37
TS2012,2020/04/01,2020/04/01 09:43:00,2020/04/01 09:44:00,101.37,101.37,101.37,101.37,0.0,0.0,178.0,101.37
TS2012,2020/04/01,2020/04/01 09:44:00,2020/04/01 09:45:00,101.37,101.37,101.37,101.37,0.0,0.0,178.0,101.37
TS2012,2020/04/01,2020/04/01 09:45:00,2020/04/01 09:46:00,101.37,101.37,101.37,101.37,0.0,0.0,178.0,101.37
TS2012,2020/04/01,2020/04/01 09:46:00,2020/04/01 09:47:00,101.385,101.37,101.37,101.385,5.0,10138500.0,183.0,101.37
TS2012,2020/04/01,2020/04/01 09:47:00,2020/04/01 09:48:00,101.385,101.385,101.385,101.385,0.0,0.0,183.0,101.385
TS2012,2020/04/01,2020/04/01 09:48:00,2020/04/01 09:49:00,101.385,101.385,101.385,101.385,0.0,0.0,183.0,101.385
TS2012,2020/04/01,2020/04/01 09:49:00,2020/04/01 09:50:00,101.385,101.385,101.385,101.385,0.0,0.0,183.0,101.385
TS2012,2020/04/01,2020/04/01 09:50:00,2020/04/01 09:51:00,101.385,101.385,101.385,101.385,0.0,0.0,183.0,101.385
TS2012,2020/04/01,2020/04/01 09:51:00,2020/04/01 09:52:00,101.385,101.385,101.385,101.385,0.0,0.0,183.0,101.385
TS2012,2020/04/01,2020/04/01 09:52:00,2020/04/01 09:53:00,101.385,101.385,101.365,101.365,4.0,8109200.0,183.0,101.385
